run_family,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_max_price_change,max_max_price_change,invariant_failures
adversarial,192,1,1,1,7.592131587494917525145622839E-30,1.726236382983195709702754400E-28,0
deterministic,20,1,1,1,7.179945996230535009539316455E-30,3.709404702152548257295422586E-29,0
monte_carlo,128,1,1,1,1.108452592562668941510363842E-29,1.130002998905097597649693939E-28,0
