run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
deterministic,neutral_late_lp,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.0134255004284903866736110067,,,0
deterministic,neutral_late_lp,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0137014846985574576060486503,0.0002599711876990581152712635281,0.000205913850600372051010523,0
deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,,,0
deterministic,skewed_late_lp,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1141896878868264463342288263,0.0001601739538605713640244830268,0.0001736423658812895501370287,0
deterministic,long_tail_late_lp,reference_parallel_lmsr,True,3.374692031740994479984785479E-29,True,True,1,0,0,0.0211738279275841992730247060,,,0
deterministic,long_tail_late_lp,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0212194539402372442894761769,0.0003619780695386808663559983934,0.000034857485713217576905006,0
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr,True,2.624120992910607646011639570E-29,True,True,1,0,0,0.0208632596755901026139658264,,,0
deterministic,early_vs_late_same_delta_b,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0216593103008609119394338915,0.0004519362937948271981428539087,0.0010842896092769601494389952,0
deterministic,same_final_claims_different_timing,reference_parallel_lmsr,True,1E-80,True,True,2,0,0.00003325045902808599741449,0.0400594700638785947641349721,,,0
deterministic,same_final_claims_different_timing,global_state_avm_fixed_point,True,0.000000,True,True,2,0,0.00003462500000000000000000,0.0407182658831534172335438871,0.0003090019717314717198869919452,0.0005073352644054296722666148,0
deterministic,cancellation_refund_path,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,-0.0191069784755991348061986554,,,0
deterministic,cancellation_refund_path,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.0186853474293416405049720506,0.0004584137568960801975524418113,0.0003130938320147387561301628,0
deterministic,repeated_lp_entries,reference_parallel_lmsr,True,3.709404702152548257295422586E-29,True,True,1,0,0,0.0079725121970881734901486649,,,0
deterministic,repeated_lp_entries,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0045300552864492577943051434,0.0002013439513466017426627833711,0.0070889888739605357983655066,0
deterministic,zero_flow_nav_invariance,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,0.0000857418094000871563931488,,,0
deterministic,zero_flow_nav_invariance,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0000849214202339021448811331,0.0002782871923430726563511758764,8.203891661850115120157E-7,0
deterministic,same_block_trade_reordering,reference_parallel_lmsr,True,2E-80,True,True,2,0,0.00002464681597011885414892,0.0189009676447594154980598792,,,0
deterministic,same_block_trade_reordering,global_state_avm_fixed_point,True,0.000000,True,True,2,0,0.00002485000000000000000002,0.0190962558248608055571021903,0.0004165642835833683861458343439,0.0001559256053108139540476697,0
monte_carlo,layer_c_sell_heavy_mc_0000,reference_parallel_lmsr,True,6.522150817992293045253339251E-29,True,True,1,0,0,0.003685744031782485567232262,,,0
monte_carlo,layer_c_sell_heavy_mc_0000,global_state_avm_fixed_point,True,0.00000,True,True,1,0,0,0.005425852884088665365161599,0.0006922124429542513338578860759,0.0024546439217059358103387931,0
monte_carlo,layer_c_sell_heavy_mc_0001,reference_parallel_lmsr,True,7.535678145294855909120302599E-30,True,True,1,0,0,-0.000964138332220383211233928,,,0
monte_carlo,layer_c_sell_heavy_mc_0001,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.000117327625520287493917512,0.0009688016846260455758341720955,0.0016048999074007753589002284,0
monte_carlo,layer_c_sell_heavy_mc_0002,reference_parallel_lmsr,True,3.732933050850239431821219824E-29,True,True,1,0,0,-0.004843202559158512519601593,,,0
monte_carlo,layer_c_sell_heavy_mc_0002,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.000963260337150744638759413,0.0008357342683367659487803059045,0.003689273141371695057581182,0
monte_carlo,layer_c_sell_heavy_mc_0003,reference_parallel_lmsr,True,8.009390528728034412493831496E-30,True,True,1,0,0,-0.0042790732481535945275838613,,,0
monte_carlo,layer_c_sell_heavy_mc_0003,global_state_avm_fixed_point,True,0.0,True,True,1,0,0,0.000451764917146966807751408,0.0004586469001555352010635147035,0.0034306658810359095075310333,0
monte_carlo,layer_c_sell_heavy_mc_0004,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,-0.0060141522994536981319382674,,,0
monte_carlo,layer_c_sell_heavy_mc_0004,global_state_avm_fixed_point,True,0.0,True,True,1,0,0,-0.003825486483898604734772749,0.0001234998463380296502671166248,0.0018801228079175321945959334,0
monte_carlo,layer_c_sell_heavy_mc_0005,reference_parallel_lmsr,True,2.163985311581037806924752876E-29,True,True,1,0,0,0.0552563369250072168967981818,,,0
monte_carlo,layer_c_sell_heavy_mc_0005,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0510009478705448810035902888,0.0002111613642642978385104697752,0.0120459284773198250689186279,0
monte_carlo,layer_c_sell_heavy_mc_0006,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,0.0019574115430902452003948540,,,0
monte_carlo,layer_c_sell_heavy_mc_0006,global_state_avm_fixed_point,True,0.00000,True,True,1,0,0,0.0118003428246075897877832780,0.0002778220551323457577589345995,0.0086323917827559180896746537,0
monte_carlo,layer_c_sell_heavy_mc_0007,reference_parallel_lmsr,True,2.451204942030765578664259213E-29,True,True,1,0,0,-0.0131951301428193717673232324,,,0
monte_carlo,layer_c_sell_heavy_mc_0007,global_state_avm_fixed_point,True,0.0,True,True,1,0,0,-0.001095924366490571930181525,0.0004119595210749187648688098248,0.0098595644010929054564845774,0
monte_carlo,layer_c_sell_heavy_mc_0008,reference_parallel_lmsr,True,5.003117338795832928474263993E-29,True,True,1,0,0,-0.0124532270762040237385096453,,,0
monte_carlo,layer_c_sell_heavy_mc_0008,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.007289132236311787399252370,0.0003252027451127449658012412524,0.0040697553866530453877741413,0
monte_carlo,layer_c_sell_heavy_mc_0009,reference_parallel_lmsr,True,0E-80,True,True,1,0,0,0.001597035010386029747324676,,,0
monte_carlo,layer_c_sell_heavy_mc_0009,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.004298917863898718570525233,0.0002533287953484080889646670420,0.001938720999932997806772710,0
monte_carlo,layer_c_sell_heavy_mc_0010,reference_parallel_lmsr,True,2.981061217991557708134286518E-29,True,True,1,0,0,-0.0086651368232209006991731228,,,0
monte_carlo,layer_c_sell_heavy_mc_0010,global_state_avm_fixed_point,True,0.0,False,True,1,0,0,-0.002416828362843031985223789,0.0002905334751320230829288578868,0.0055587003653941955210457488,0
monte_carlo,layer_c_sell_heavy_mc_0011,reference_parallel_lmsr,True,2.913057317235128882927488293E-29,True,True,1,0,0,-0.004790805119736325954575483,,,0
monte_carlo,layer_c_sell_heavy_mc_0011,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.003842743743084621718983131,0.0003280445041299834331201288123,0.001465407146990018006878950,0
monte_carlo,layer_c_sell_heavy_mc_0012,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,0.0365245590794767409844447776,,,0
monte_carlo,layer_c_sell_heavy_mc_0012,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0392873662644450989308366278,0.0007062780501727495459846458654,0.006917258027095668818669934,0
monte_carlo,layer_c_sell_heavy_mc_0013,reference_parallel_lmsr,True,6.813493280988293949649464518E-29,True,True,1,0,0,0.0129402079939713185956978338,,,0
monte_carlo,layer_c_sell_heavy_mc_0013,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0108600867337207079612168129,0.0009306675290286910169741534586,0.0062679365751611004773321921,0
monte_carlo,layer_c_sell_heavy_mc_0014,reference_parallel_lmsr,True,3.952174411065585905322201732E-29,True,True,1,0,0,-0.0119760870007284997233899093,,,0
monte_carlo,layer_c_sell_heavy_mc_0014,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.005091219591987678196070719,0.0007279097946932695293090049417,0.0053232997125592276080047333,0
monte_carlo,layer_c_sell_heavy_mc_0015,reference_parallel_lmsr,True,3.419586596664936031669948294E-29,True,True,1,0,0,0.0027329102031076910201583160,,,0
monte_carlo,layer_c_sell_heavy_mc_0015,global_state_avm_fixed_point,True,0.0,False,True,1,0,0,0.0030371941477688137646576234,0.0004633684064023957696027634021,0.001238097532164704684861296,0
monte_carlo,layer_c_sell_heavy_mc_0016,reference_parallel_lmsr,True,1.993507185845504508708241447E-29,True,True,1,0,0,-0.0088117111871920891160786147,,,0
monte_carlo,layer_c_sell_heavy_mc_0016,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.001015690170477433383352285,0.0008726206122813570290036411602,0.0080022320797189229320599557,0
monte_carlo,layer_c_sell_heavy_mc_0017,reference_parallel_lmsr,True,4.895197053140549125479179246E-29,True,True,1,0,0,0.0257926745216324566595875598,,,0
monte_carlo,layer_c_sell_heavy_mc_0017,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0280715747979194750686438072,0.0007594268790994151841535208203,0.0144182336473150479308763448,0
monte_carlo,layer_c_sell_heavy_mc_0018,reference_parallel_lmsr,True,4.411837508920168936428602080E-29,True,True,1,0,0,-0.0396711070138908319002120494,,,0
monte_carlo,layer_c_sell_heavy_mc_0018,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.0477073338817463047754726581,0.0006201831912279510804378509504,0.009189070495015529848618374,0
monte_carlo,layer_c_sell_heavy_mc_0019,reference_parallel_lmsr,True,3.529597790773841415221851585E-29,True,True,1,0,0,-0.0082609087252841348563181534,,,0
monte_carlo,layer_c_sell_heavy_mc_0019,global_state_avm_fixed_point,True,0.0,True,True,1,0,0,-0.004933715715476849037286170,0.0002093528659772640403902380153,0.002392335321448037188781095,0
monte_carlo,layer_c_sell_heavy_mc_0020,reference_parallel_lmsr,True,3.984728532091629325086085599E-29,True,True,1,0,0,0.0070913910932615499969718142,,,0
monte_carlo,layer_c_sell_heavy_mc_0020,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0012142074389558976333696082,0.0004217401950494233699771868904,0.0055330998061521717906130134,0
monte_carlo,layer_c_sell_heavy_mc_0021,reference_parallel_lmsr,True,4.921196099397215212386147137E-29,True,True,1,0,0,-0.024070005139688268208877222,,,0
monte_carlo,layer_c_sell_heavy_mc_0021,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.021799227113749952100762044,0.0002530778819967654077270639162,0.0059628307735390264861529806,0
monte_carlo,layer_c_sell_heavy_mc_0022,reference_parallel_lmsr,True,7E-80,True,True,1,0,0,-0.0009086604046457289416853088,,,0
monte_carlo,layer_c_sell_heavy_mc_0022,global_state_avm_fixed_point,True,0.000,True,True,1,0,0,0.0001099742609426907692715484,0.0006512115698989635469812316135,0.001323306471950589380150651,0
monte_carlo,layer_c_sell_heavy_mc_0023,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,-0.0000889722616600599939496828,,,0
