run_family,scenario_name,description,max_quote_divergence,max_nav_per_deposit_divergence,max_price_entry_divergence
monte_carlo,layer_c_sell_heavy_mc_0027,Randomized active-LP resolved market path.,0.001039131327874164463176804244,0.0169985835688917438186198948,8.090907413266354503657389948E-7
monte_carlo,layer_c_sell_heavy_mc_0017,Randomized active-LP resolved market path.,0.0007594268790994151841535208203,0.0144182336473150479308763448,0.000001729439867687535341066484833
monte_carlo,layer_c_sell_heavy_mc_0005,Randomized active-LP resolved market path.,0.0002111613642642978385104697752,0.0120459284773198250689186279,0.000001904370375829762242927127841
monte_carlo,layer_c_sell_heavy_mc_0007,Randomized active-LP resolved market path.,0.0004119595210749187648688098248,0.0098595644010929054564845774,0.000003146036951436729612249083408
monte_carlo,layer_c_sell_heavy_mc_0018,Randomized active-LP resolved market path.,0.0006201831912279510804378509504,0.009189070495015529848618374,0.000001924916849402880980610985580
monte_carlo,layer_c_sell_heavy_mc_0029,Randomized active-LP resolved market path.,0.0006164557433676104298003890264,0.008891032661206306211039233,0.000001773322135796154639037056113
monte_carlo,layer_c_sell_heavy_mc_0006,Randomized active-LP resolved market path.,0.0002778220551323457577589345995,0.0086323917827559180896746537,0.000001881838442194001258771091662
monte_carlo,layer_c_sell_heavy_mc_0016,Randomized active-LP resolved market path.,0.0008726206122813570290036411602,0.0080022320797189229320599557,0.000001729439867687535341066484833
monte_carlo,layer_c_sell_heavy_mc_0031,Randomized active-LP resolved market path.,0.0002467491810612713474757848379,0.007952899779897576387618156,7.363469965633567360683475433E-7
deterministic,repeated_lp_entries,"Multiple LP cohorts join during active trading, including after an intermediate sell.",0.0002013439513466017426627833711,0.0070889888739605357983655066,0.000001903997667157303409927798321
monte_carlo,layer_c_sell_heavy_mc_0012,Randomized active-LP resolved market path.,0.0007062780501727495459846458654,0.006917258027095668818669934,0.000001932778907132059702968143243
monte_carlo,layer_c_sell_heavy_mc_0013,Randomized active-LP resolved market path.,0.0009306675290286910169741534586,0.0062679365751611004773321921,0.000001962249086521089688965780295
monte_carlo,layer_c_sell_heavy_mc_0021,Randomized active-LP resolved market path.,0.0002530778819967654077270639162,0.0059628307735390264861529806,0.000004474911667862229698144070276
monte_carlo,layer_c_sell_heavy_mc_0010,Randomized active-LP resolved market path.,0.0002905334751320230829288578868,0.0055587003653941955210457488,0.000001927631905054387987478601876
monte_carlo,layer_c_sell_heavy_mc_0020,Randomized active-LP resolved market path.,0.0004217401950494233699771868904,0.0055330998061521717906130134,0.000003013963478579861947192737955
monte_carlo,layer_c_sell_heavy_mc_0014,Randomized active-LP resolved market path.,0.0007279097946932695293090049417,0.0053232997125592276080047333,0.000001538941495430926302982094532
monte_carlo,layer_c_sell_heavy_mc_0008,Randomized active-LP resolved market path.,0.0003252027451127449658012412524,0.0040697553866530453877741413,0.000004247862794643602691450552633
monte_carlo,layer_c_sell_heavy_mc_0002,Randomized active-LP resolved market path.,0.0008357342683367659487803059045,0.003689273141371695057581182,9.377598996371225626257447724E-7
monte_carlo,layer_c_sell_heavy_mc_0003,Randomized active-LP resolved market path.,0.0004586469001555352010635147035,0.0034306658810359095075310333,0.000001723085948141764276166674891
monte_carlo,layer_c_sell_heavy_mc_0025,Randomized active-LP resolved market path.,0.0002296164632354325606115198906,0.0032442200788718447031063331,0.000002271560004911015941086746892
