run_family,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_max_price_change,max_max_price_change,invariant_failures
adversarial,384,1,1,1,1.577798065821499461805632873E-29,1.726236382983195709702754400E-28,0
deterministic,18,1,1,1,6.711904072262239939115243739E-30,3.709404702152548257295422586E-29,0
monte_carlo,128,1,1,1,9.245680842660050132422100703E-30,9.754174130917635996789025846E-29,0
