pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,challenge_rate,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6714,0.3272035510462904,0.7462,982.2,31.4304,0.05379999999999996,1.0,1.0,10.0,10.0,0.0,0.0,5047848.490681772,5000
5000,10,pool_proportional,0.15,10.0,,750.0,position_bounded,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.5214,0.21036301582376668,0.4334,851.7,27.2544,0.35540000000000005,1.0,1.0,10.0,10.0,0.0,0.0,1303500.0,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.6714,0.3272035510462904,0.7462,982.2,31.4304,0.05379999999999996,1.0,1.0,10.0,10.0,0.0,0.0,5047848.490681772,5000
5000,10,pool_proportional,0.15,10.0,,750.0,position_bounded,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.672,0.3285774234158624,0.77,984.9,31.5168,0.04679999999999995,1.0,1.0,10.0,10.0,0.0,0.0,4712328.48264184,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6714,0.3272035510462904,0.7462,9822.0,31.4304,0.05379999999999996,1.0,1.0,10.0,10.0,0.0,0.0,50478484.9068176,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.5214,0.21036301582376668,0.4334,8517.0,27.2544,0.35540000000000005,1.0,1.0,10.0,10.0,0.0,0.0,13035000.0,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.6714,0.3272035510462904,0.7462,9822.0,31.4304,0.05379999999999996,1.0,1.0,10.0,10.0,0.0,0.0,50478484.9068176,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.672,0.3285774234158624,0.77,9849.0,31.5168,0.04679999999999995,1.0,1.0,10.0,10.0,0.0,0.0,47123284.82641518,5000
