run_family,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_max_price_change,max_max_price_change,invariant_failures
adversarial,64,1,1,1,1.518426317498983505029124564E-29,1.726236382983195709702754400E-28,0
deterministic,18,1,1,1,6.711904072262239939115243739E-30,3.709404702152548257295422586E-29,0
monte_carlo,24,1,1,1,1.079991760555132770318069405E-29,8.602905116578052151105264542E-29,0
