run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,invariant_failures
adversarial,adversarial_default_0000,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,0.0303349569493694232533477395,0
adversarial,adversarial_default_0001,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.0158682097105869136000838281,0
adversarial,adversarial_default_0006,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.0265054507878564903352256263,0
adversarial,adversarial_default_0007,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,-0.008146924207110762304848049,0
adversarial,adversarial_default_0014,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,0.0224476458956585220924622890,0
adversarial,adversarial_default_0015,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.011396484703831863662698171,0
adversarial,adversarial_default_0016,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,0.0345506157597592324177453038,0
adversarial,adversarial_default_0017,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.0240115869606630555339573695,0
adversarial,adversarial_default_0020,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.0188470890773946237131949811,0
adversarial,adversarial_default_0021,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,-0.003837741412843632863996631,0
adversarial,adversarial_default_0022,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.030628215152058382810257871,0
adversarial,adversarial_default_0023,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,-0.0159917043476378658926978681,0
adversarial,adversarial_default_0024,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.0986309306945858388024276514,0
adversarial,adversarial_default_0025,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,-0.055379624838601950709010906,0
adversarial,adversarial_default_0030,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,0.0863498642364811814997316105,0
adversarial,adversarial_default_0031,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,-0.0291580524134096606338473072,0
adversarial,adversarial_default_0038,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.0935009764134671100870171539,0
adversarial,adversarial_default_0039,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,-0.052031393902579902058216132,0
adversarial,adversarial_default_0040,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.1013818647304912334936279088,0
adversarial,adversarial_default_0041,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,-0.0611068760198373333840159197,0
adversarial,adversarial_default_0044,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,0.0818642459982394971812197669,0
adversarial,adversarial_default_0045,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,-0.026303991746750933092235852,0
adversarial,adversarial_default_0046,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,0.0888129031491691539266245877,0
adversarial,adversarial_default_0047,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,-0.0340346924056221000670776295,0
adversarial,adversarial_default_0048,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,0.0303349569493694232533477396,0
adversarial,adversarial_default_0049,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.015868209710586913600083828,0
adversarial,adversarial_default_0054,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,0.0265054507878564903352256262,0
adversarial,adversarial_default_0055,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,-0.0081469242071107623048480491,0
adversarial,adversarial_default_0062,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,0.0240020879183177743997549238,0
adversarial,adversarial_default_0063,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.012313849893265801575059758,0
adversarial,adversarial_default_0064,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,0.0336850791596081392896941540,0
adversarial,adversarial_default_0065,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.0224053163487209584423542984,0
adversarial,adversarial_default_0068,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,0.0203565174726165344378227537,0
adversarial,adversarial_default_0069,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,-0.004721821918567521351945271,0
adversarial,adversarial_default_0070,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,0.0297818638526052179942768815,0
adversarial,adversarial_default_0071,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,-0.0144445467461452314961024445,0
adversarial,adversarial_default_0072,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.0986309306945858388024276513,0
adversarial,adversarial_default_0073,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,-0.0553796248386019507090109061,0
adversarial,adversarial_default_0078,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,0.0863498642364811814997316107,0
adversarial,adversarial_default_0079,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,-0.029158052413409660633847307,0
adversarial,adversarial_default_0086,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.0945106217876351365591655867,0
adversarial,adversarial_default_0087,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,-0.052717385571840031059308754,0
adversarial,adversarial_default_0088,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.1008166892686887833882601907,0
adversarial,adversarial_default_0089,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,-0.0599764144382116280161425843,0
adversarial,adversarial_default_0092,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,0.0827472974408988675202930840,0
