name,scheme,linear_lambda,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_fairness_gap_nav_per_deposit,max_abs_fairness_gap_nav_per_deposit,positive_fairness_rows,negative_fairness_rows,near_zero_fairness_rows,mean_divergence_max_nav_per_deposit_diff_vs_reference,invariant_failure_count
flat,flat,1,84,1,1,1,0.1073685395664202688810010917,0.2220624424556946975641150482,84,0,2,1.547619047619047619047619048E-28,0
linear,linear,1,84,1,1,1,-0.6661000820801531580119949843,1.364474562074663320104205924,4,80,2,7.738095238095238095238095238E-29,0
sqrt,sqrt,1,84,1,1,1,-0.3335732708523274431998749915,0.9203407824510215839822422466,12,72,8,9.880952380952380952380952381E-29,0
log1p,log1p,1,84,1,1,1,-0.3071802377717541478348373067,0.8271310778187203661925960865,14,70,6,1.071428571428571428571428571E-28,0
linear_lambda_025,linear_lambda,0.25,84,1,1,1,-0.4131138844787970284329420144,0.8695600227346693691831703904,6,78,4,8.809523809523809523809523810E-29,0
linear_lambda_050,linear_lambda,0.50,84,1,1,1,-0.5569866089004581955310602629,1.151934575855034016027687597,4,80,4,8.928571428571428571428571429E-29,0
