scenario_name,event_index,timestamp,event_label,event_kind,reference_depth_b,reference_p_min,reference_p_max,reference_reserve_margin,reference_min_margin,layer_c_depth_b,layer_c_p_min,layer_c_p_max,layer_c_reserve_margin,layer_c_min_margin
layer_c_low_tail_mc_0013,1,1,Bootstrap,bootstrap_market,100,0.01562499999999999999999999999999999999999999999999999999999999999999999999999997,0.015625000000000000000000000000000000000000000000000000000000000000000000000000004,435.8883083359671856503392729,435.8883083359671856503392729,100000000,0.015625,0.015625,435.888309,435.888309
layer_c_low_tail_mc_0013,2,2,Buy,buy_outcome,100,0.01330096871384290431177935196260066004539973030144798433531569512713483189958135,0.16203897102789702835790082635615841713981699100877698687511120699050559032635323,451.9918410779528442226711173,201.9918410779528442226711173,100000000,0.0133,0.162042,451.992409,201.992409
layer_c_low_tail_mc_0013,3,3,Buy,buy_outcome,100,0.00449245071158562729742416741184996851947353927341051778948880943837094596137847,0.66673880221904118123858062774434452237177232339397274993980609678811199600387575,560.5356910633160520217499461,60.5356910633160520217499461,100000000,0.004492,0.666765,560.544909,60.544909
layer_c_low_tail_mc_0013,4,4,LP Enter,lp_enter_active,120,0.0044924507115856272974241674122493406803362966567738384511988272439694024874029677,0.66673880221904118123858062771471809946049772770660617116306646846643309507426260,668.6428292759792624260999353,60.5356910633160520217499461,120000000,0.004492,0.666765,668.654055,60.544909
layer_c_low_tail_mc_0013,5,5,Resolve,resolve_market,120,0,1,168.6428292759792624260999353,60.5356910633160520217499461,120000000,0,1,168.654055,60.544909
layer_c_low_tail_mc_0013,6,6,Claim Win,claim_winnings,120,0,1,168.6428292759792624260999353,-189.4643089366839479782500539,120000000,0,1,168.654055,-189.455091
layer_c_low_tail_mc_0013,7,7,Claim LP,claim_lp_residual,20,0,1,108.1071382126632104043499892,0,20000000,0,1,108.109146,0
layer_c_low_tail_mc_0013,8,8,Claim LP,claim_lp_residual,0,0,1,0,0,0,0,1,0,0
