name,scheme,linear_lambda,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_fairness_gap_nav_per_deposit,max_abs_fairness_gap_nav_per_deposit,positive_fairness_rows,negative_fairness_rows,near_zero_fairness_rows,mean_divergence_max_nav_per_deposit_diff_vs_reference,invariant_failure_count
linear_lambda_0020,linear_lambda,0.020,84,1,1,1,0.01781881201733012530802603983,0.2024992876114914472650003524,50,34,22,1.261904761904761904761904762E-28,0
linear_lambda_0025,linear_lambda,0.025,84,1,1,1,-0.001739081727436282946984580533,0.1983976234235545761904366513,36,48,20,1.059523809523809523809523810E-28,0
linear_lambda_0030,linear_lambda,0.030,84,1,1,1,-0.02034256996316576678106589048,0.1945524037998228715518311886,30,54,16,8.928571428571428571428571429E-29,0
linear_lambda_0035,linear_lambda,0.035,84,1,1,1,-0.03806382544539750193247481273,0.1982386563342177141085637180,26,58,10,1.095238095238095238095238095E-28,0
linear_lambda_0040,linear_lambda,0.040,84,1,1,1,-0.05496760235747874761363881930,0.2270281377851376457023461016,22,62,6,1.011904761904761904761904762E-28,0
