run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,invariant_failures
deterministic,neutral_late_lp,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.0134255004284903866736110067,0
deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,0
deterministic,long_tail_late_lp,reference_parallel_lmsr,True,3.374692031740994479984785479E-29,True,True,1,0,0,0.0211738279275841992730247060,0
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr,True,2.624120992910607646011639570E-29,True,True,1,0,0,0.0208632596755901026139658264,0
deterministic,same_final_claims_different_timing,reference_parallel_lmsr,True,1E-80,True,True,2,0,0.00003325045902808599741449,0.0400594700638785947641349721,0
deterministic,cancellation_refund_path,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,-0.0191069784755991348061986554,0
deterministic,repeated_lp_entries,reference_parallel_lmsr,True,3.709404702152548257295422586E-29,True,True,1,0,0,0.0079725121970881734901486649,0
deterministic,zero_flow_nav_invariance,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,0.0000857418094000871563931488,0
deterministic,same_block_trade_reordering,reference_parallel_lmsr,True,2E-80,True,True,2,0,0.00002464681597011885414892,0.0189009676447594154980598792,0
monte_carlo,paper_core_mc_0000,reference_parallel_lmsr,True,2.293371126136235620733880613E-29,True,True,1,0,0,-0.011124723600532211929758328,0
monte_carlo,paper_core_mc_0001,reference_parallel_lmsr,True,2.296802881476858128900545963E-29,True,True,1,0,0,0.0107516327047656335395664993,0
monte_carlo,paper_core_mc_0002,reference_parallel_lmsr,True,1.942059842222420580735571916E-29,True,True,1,0,0,-0.006552887458768852667877444,0
monte_carlo,paper_core_mc_0003,reference_parallel_lmsr,True,1.331354052328818386740688393E-28,True,True,1,0,0,-0.059625826465423486712703208,0
monte_carlo,paper_core_mc_0004,reference_parallel_lmsr,True,1.571163226246064548685448149E-29,True,True,1,0,0,-0.0069246991336561507596445004,0
monte_carlo,paper_core_mc_0005,reference_parallel_lmsr,True,8.969264525753937093189190729E-30,True,True,1,0,0,-0.0054506821388997948297528960,0
monte_carlo,paper_core_mc_0006,reference_parallel_lmsr,True,1.717433738251868173540463107E-29,True,True,1,0,0,-0.003691906547885339739644905,0
monte_carlo,paper_core_mc_0007,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.004693415725360192288208453,0
monte_carlo,paper_core_mc_0008,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.0052672291570304846053224727,0
monte_carlo,paper_core_mc_0009,reference_parallel_lmsr,True,1.664490104859896464677083280E-29,True,True,1,0,0,-0.0016602215252138617186703189,0
monte_carlo,paper_core_mc_0010,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.0091312901571497745567918524,0
monte_carlo,paper_core_mc_0011,reference_parallel_lmsr,True,1.367570708444986278094627765E-29,True,True,1,0,0,-0.0011312154923600976974156326,0
monte_carlo,paper_core_mc_0012,reference_parallel_lmsr,True,1.571269116339037864822927299E-29,True,True,1,0,0,-0.0067833246360709007897067368,0
monte_carlo,paper_core_mc_0013,reference_parallel_lmsr,True,3.264764359105033522314688567E-29,True,True,1,0,0,-0.058836225666218390864303903,0
monte_carlo,paper_core_mc_0014,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.0198990905695636355937548916,0
monte_carlo,paper_core_mc_0015,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.0037004556924014256998244129,0
monte_carlo,paper_core_mc_0016,reference_parallel_lmsr,True,1.480738044380682856067302931E-29,True,True,1,0,0,-0.0025224883772278844165448908,0
monte_carlo,paper_core_mc_0017,reference_parallel_lmsr,True,7.292239352434310068965936688E-29,True,True,1,0,0,-0.014827374149059039301445843,0
monte_carlo,paper_core_mc_0018,reference_parallel_lmsr,True,4.577005494270992786846887984E-29,True,True,1,0,0,-0.024304050836728439398250704,0
monte_carlo,paper_core_mc_0019,reference_parallel_lmsr,True,1.4E-79,True,True,1,0,0,0.0106597068495362975494393862,0
monte_carlo,paper_core_mc_0020,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,0.032448376562222730223911340,0
monte_carlo,paper_core_mc_0021,reference_parallel_lmsr,True,2.212780987385329102348199059E-29,True,True,1,0,0,-0.0009954578962615018147171665,0
monte_carlo,paper_core_mc_0022,reference_parallel_lmsr,True,2.163660420782297792865247396E-29,True,True,1,0,0,0.0113042454336456274426726857,0
monte_carlo,paper_core_mc_0023,reference_parallel_lmsr,True,7.063585467477576081596152915E-29,True,True,1,0,0,-0.0080779317068056864827300696,0
monte_carlo,paper_core_mc_0024,reference_parallel_lmsr,True,3.105029316521551472909433163E-29,True,True,1,0,0,0.0019719397968671516804677798,0
monte_carlo,paper_core_mc_0025,reference_parallel_lmsr,True,3.323627377144393565317101231E-29,True,True,1,0,0,-0.009148970568072485870385852,0
monte_carlo,paper_core_mc_0026,reference_parallel_lmsr,True,4E-80,True,True,1,0,0,-0.0629033835964753706839372020,0
monte_carlo,paper_core_mc_0027,reference_parallel_lmsr,True,2.615823360614098146445680361E-29,True,True,1,0,0,-0.002805540759786265103207732,0
monte_carlo,paper_core_mc_0028,reference_parallel_lmsr,True,3.446168272662058902488241072E-29,True,True,1,0,0,-0.0206224702461450225478359681,0
monte_carlo,paper_core_mc_0029,reference_parallel_lmsr,True,1.795535551494481464988599375E-29,True,True,1,0,0,-0.0015990097808390765810499725,0
monte_carlo,paper_core_mc_0030,reference_parallel_lmsr,True,3.823305975131101562352955638E-29,True,True,1,0,0,0.0194224939687242278336995896,0
monte_carlo,paper_core_mc_0031,reference_parallel_lmsr,True,1.188042202456457841228102994E-29,True,True,1,0,0,0.0089807078746385878486532118,0
monte_carlo,paper_core_mc_0032,reference_parallel_lmsr,True,2.867256043393693937293501507E-29,True,True,1,0,0,-0.0123652919704930172244817012,0
monte_carlo,paper_core_mc_0033,reference_parallel_lmsr,True,8.902541598314049733049482016E-30,True,True,1,0,0,-0.004417138772793335029770886,0
monte_carlo,paper_core_mc_0034,reference_parallel_lmsr,True,1.0E-80,True,True,1,0,0,-0.0010469878721401893803681712,0
monte_carlo,paper_core_mc_0035,reference_parallel_lmsr,True,0E-81,True,True,1,0,0,0.000763472350632900762547379,0
monte_carlo,paper_core_mc_0036,reference_parallel_lmsr,True,8E-80,True,True,1,0,0,-0.003417252379210502610534346,0
monte_carlo,paper_core_mc_0037,reference_parallel_lmsr,True,3.795861226416461676415367032E-29,True,True,1,0,0,-0.0285373527627783636265477462,0
