run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,nav,nav_per_deposit,nav_per_risk
adversarial,paper_quick_adv_0000,reference_parallel_lmsr,creator:bootstrap,creator,1,125.9218940797440485781043670,0.9696650430506305767466522604,0.9696650430506305767466522604
adversarial,paper_quick_adv_0000,reference_parallel_lmsr,lp_late:3,lp_late,3,22.38029829077468480584150738,0.9999999999999999999999999999,0.9999999999999999999999999999
adversarial,paper_quick_adv_0001,reference_parallel_lmsr,creator:bootstrap,creator,1,131.9218940797440485781043670,1.015868209710586913600083828,1.015868209710586913600083828
adversarial,paper_quick_adv_0001,reference_parallel_lmsr,lp_late:3,lp_late,3,22.38029829077468480584150738,0.9999999999999999999999999999,0.9999999999999999999999999999
adversarial,paper_quick_adv_0006,reference_parallel_lmsr,creator:bootstrap,creator,1,126.4191984558311423319201340,0.9734945492121435096647743737,0.9734945492121435096647743737
adversarial,paper_quick_adv_0006,reference_parallel_lmsr,lp_late:4,lp_late,4,22.47877440485133703431987709,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,paper_quick_adv_0007,reference_parallel_lmsr,creator:bootstrap,creator,1,130.9191984558311423319201340,1.008146924207110762304848049,1.008146924207110762304848049
adversarial,paper_quick_adv_0007,reference_parallel_lmsr,lp_late:4,lp_late,4,22.47877440485133703431987709,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,paper_quick_adv_0014,reference_parallel_lmsr,creator:bootstrap,creator,1,119.5400767477752480263517852,0.9205216814202385121487546315,0.9205216814202385121487546315
adversarial,paper_quick_adv_0014,reference_parallel_lmsr,lp_late:3,lp_late,3,21.10393482438092469549099101,0.9429693273158970342412169205,0.9429693273158970342412169205
adversarial,paper_quick_adv_0015,reference_parallel_lmsr,creator:bootstrap,creator,1,135.5400767477752480263517852,1.043730125846788743757905477,1.043730125846788743757905477
adversarial,paper_quick_adv_0015,reference_parallel_lmsr,lp_late:3,lp_late,3,23.10393482438092469549099101,1.032333641142956880095207306,1.032333641142956880095207306
adversarial,paper_quick_adv_0016,reference_parallel_lmsr,creator:bootstrap,creator,1,129.3328872913221314412144501,0.9959314910223842216518229392,0.9959314910223842216518229392
