name,scheme,linear_lambda,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_fairness_gap_nav_per_deposit,max_abs_fairness_gap_nav_per_deposit,positive_fairness_rows,negative_fairness_rows,near_zero_fairness_rows,mean_divergence_max_nav_per_deposit_diff_vs_reference,invariant_failure_count
linear_lambda_005,linear_lambda,0.05,84,1,1,1,-0.08655026388263652396068656402,0.2800303113281133146365403366,22,62,4,9.523809523809523809523809524E-29,0
linear_lambda_010,linear_lambda,0.10,84,1,1,1,-0.2107455777352899982473358912,0.4803797906606387053533953836,10,74,8,9.404761904761904761904761905E-29,0
linear_lambda_015,linear_lambda,0.15,84,1,1,1,-0.2979257084126760173410348215,0.6444888630348188193755601000,8,76,6,9.761904761904761904761904762E-29,0
linear_lambda_020,linear_lambda,0.20,84,1,1,1,-0.3628069857983688696345315551,0.7710010245363408093637778765,6,78,4,9.166666666666666666666666667E-29,0
