run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,nav,nav_per_deposit,nav_per_risk
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,127.3900145250899751826797443,0.9809703453194984376641753978,0.9809703453194984376641753978
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,47.46945908635479838384805009,1.048148373177842312976758230,1.048148373177842312976758230
deterministic,neutral_late_lp,global_state_fungible_fees_reserve_residual,creator:bootstrap,creator,1,127.3900145250899751826797443,0.9809703453194984376641753978,0.9809703453194984376641753978
deterministic,neutral_late_lp,global_state_fungible_fees_reserve_residual,lp_late:4,lp_late,4,47.46945908635479838384805009,1.048148373177842312976758230,1.048148373177842312976758230
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,118.4892246185329138591112776,0.9124295654098462552244405270,0.9124295654098462552244405270
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:5,lp_late,5,53.93347382042392941786772553,0.9001659150127518467545859378,0.9001659150127518467545859378
deterministic,skewed_late_lp,global_state_fungible_fees_reserve_residual,creator:bootstrap,creator,1,118.4892246185329138591112776,0.9124295654098462552244405270,0.9124295654098462552244405270
deterministic,skewed_late_lp,global_state_fungible_fees_reserve_residual,lp_late:5,lp_late,5,53.93347382042392941786772553,0.9001659150127518467545859379,0.9001659150127518467545859379
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,309.9645559694764726645252501,0.9962803641313483503128291205,0.9962803641313483503128291205
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:5,lp_late,5,121.0245164894433372332189103,0.9620292356742830744811561894,0.9620292356742830744811561894
deterministic,long_tail_late_lp,global_state_fungible_fees_reserve_residual,creator:bootstrap,creator,1,309.9645559694764726645252501,0.9962803641313483503128291205,0.9962803641313483503128291205
deterministic,long_tail_late_lp,global_state_fungible_fees_reserve_residual,lp_late:5,lp_late,5,121.0245164894433372332189103,0.9620292356742830744811561894,0.9620292356742830744811561894
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,121.1562430647043384965932531,0.9329670150354522753974228436,0.9329670150354522753974228436
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,lp_early:2,lp_early,2,35.53949611493267181057986745,1.078314781945460244867401584,1.078314781945460244867401584
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,lp_late:5,lp_late,5,33.10570344749326840902145240,0.9701420444416663705751310936,0.9701420444416663705751310936
deterministic,early_vs_late_same_delta_b,global_state_fungible_fees_reserve_residual,creator:bootstrap,creator,1,121.1562430647043384965932531,0.9329670150354522753974228436,0.9329670150354522753974228436
deterministic,early_vs_late_same_delta_b,global_state_fungible_fees_reserve_residual,lp_early:2,lp_early,2,35.53949611493267181057986745,1.078314781945460244867401584,1.078314781945460244867401584
deterministic,early_vs_late_same_delta_b,global_state_fungible_fees_reserve_residual,lp_late:5,lp_late,5,33.10570344749326840902145240,0.9701420444416663705751310936,0.9701420444416663705751310936
deterministic,same_final_claims_different_timing,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,122.7528763071836661939029950,0.9452619336683020845928017822,0.9452619336683020845928017822
deterministic,same_final_claims_different_timing,reference_parallel_lmsr_reserve_residual,lp_timing:3,lp_timing,3,41.00178841063394171620597197,1.040393927511189068163380697,1.040393927511189068163380697
deterministic,same_final_claims_different_timing,global_state_fungible_fees_reserve_residual,creator:bootstrap,creator,1,122.7528763071836661939029950,0.9452619336683020845928017822,0.9452619336683020845928017822
