name,scheme,linear_lambda,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_fairness_gap_nav_per_deposit,max_abs_fairness_gap_nav_per_deposit,positive_fairness_rows,negative_fairness_rows,near_zero_fairness_rows,mean_divergence_max_nav_per_deposit_diff_vs_reference,invariant_failure_count
linear_lambda_003225,linear_lambda,0.03225,340,1,1,1,0.0008536518861781128802701316024,0.2057887165170990153346996449,202,138,92,6.352941176470588235294117647E-29,0
linear_lambda_003250,linear_lambda,0.03250,340,1,1,1,0.0001235167396626046046868101897,0.2074573402207744474909737779,202,138,90,7.941176470588235294117647059E-29,0
linear_lambda_003275,linear_lambda,0.03275,340,1,1,1,-0.0006051910414658413031006701532,0.2091210462207410614484854729,186,154,90,7.588235294117647058823529412E-29,0
