slice,scenario_count,active_lp_mean_fairness_gap_nav_per_deposit,fpmm_mean_fairness_gap_nav_per_deposit,mean_fpmm_minus_active_lp_gap,active_lp_abs_gap_wins,fpmm_abs_gap_wins
adversarial,24,0.01085681414069111374689799780,0.01732253012531294798073796470,0.006465715984621834233839966892,15,9
deterministic,8,0.01408340002622417814135894004,0.03054175648614544397675810706,0.01645835645992126583539916702,2,6
high_skew,12,-0.1202657358675735553835726527,0.5373289897179316761830668448,0.6575947255855052315666394976,12,0
overall,44,-0.02431722933692051158060109918,0.1615459693525421458533767761,0.1858631986894626574339778753,29,15
