metric,ordinary_target_regime,low_tail_regime
result_count,194,80
price_continuity_pass_rate,1,1
slippage_pass_rate,0.9948453608247422680412371134,1
solvency_pass_rate,1,1
invariant_failure_count,0,8
mean_max_quote_diff_vs_reference,0.0001669035844851525865301528151,0.01991391463303688430640173249
max_max_quote_diff_vs_reference,0.0009064069979182371533846517983,0.2726205910867811919051892457
mean_max_nav_per_deposit_diff_vs_reference,0.0004716779241726825687121267629,0.0005046396421077428787711719249
max_max_nav_per_deposit_diff_vs_reference,0.018131827333981696203726526,0.0304545195997499853923334528
