event_index,event_label,depth_b,p_min,p_max,reserve_margin,min_cohort_margin
1,Bootstrap,100,0.01562499999999999999999999999999999999999999999999999999999999999999999999999997,0.015625000000000000000000000000000000000000000000000000000000000000000000000000004,435.8883083359671856503392729,435.8883083359671856503392729
2,Buy,100,0.01330096871384290431177935196260066004539973030144798433531569512713483189958135,0.16203897102789702835790082635615841713981699100877698687511120699050559032635323,451.9918410779528442226711173,201.9918410779528442226711173
3,Buy,100,0.00449245071158562729742416741184996851947353927341051778948880943837094596137847,0.66673880221904118123858062774434452237177232339397274993980609678811199600387575,560.5356910633160520217499461,60.5356910633160520217499461
4,LP Enter,120,0.0044924507115856272974241674122493406803362966567738384511988272439694024874029677,0.66673880221904118123858062771471809946049772770660617116306646846643309507426260,668.6428292759792624260999353,60.5356910633160520217499461
5,Resolve,120,0,1,168.6428292759792624260999353,60.5356910633160520217499461
6,Claim Win,120,0,1,168.6428292759792624260999353,-189.4643089366839479782500539
7,Claim LP,20,0,1,108.1071382126632104043499892,0
8,Claim LP,0,0,1,0,0
