pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,challenge_rate,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,retail_heavy,10.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.7767195767195767,0.24761904761904763,0.7058201058201058,9357.142857142857,29.942857142857143,0.0,0.189,0.3014,0.3534,0.2172,0.8095238095238095,0.8613756613756614,4468042.23439507,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,retail_heavy,15.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.48835662009314706,0.24761904761904763,0.44377910844976715,8667.664670658683,27.736526946107784,0.37125748502994016,0.3006,0.3006,0.353,0.353,0.8416500332667998,0.8416500332667998,4483444.525786669,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,retail_heavy,25.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.48835662009314706,0.24761904761904763,0.4431137724550898,8667.664670658683,27.736526946107784,0.37125748502994016,0.3006,0.3006,0.353,0.353,0.8416500332667998,0.8416500332667998,4489114.843456329,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,retail_heavy,50.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.48835662009314706,0.24761904761904763,0.4431137724550898,8667.664670658683,27.736526946107784,0.37125748502994016,0.3006,0.3006,0.353,0.353,0.8416500332667998,0.8416500332667998,4507464.843456329,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,mixed,0.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.7620611265471079,0.2616822429906542,0.7335185652942662,9462.616822429907,30.2803738317757,0.0,0.7918,0.9828,3.3704,2.0718,0.06617832786057085,0.2924981055822177,27375844.776809853,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,mixed,5.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.7620611265471079,0.2616822429906542,0.7335185652942662,9462.616822429907,30.2803738317757,0.0,0.7918,0.9828,3.3704,2.0724,0.06617832786057085,0.292245516544582,27390929.776809853,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,mixed,10.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.7620611265471079,0.2616822429906542,0.733771154331902,9462.616822429907,30.2803738317757,0.0,0.7918,0.983,3.3702,2.0736,0.06617832786057085,0.2917403384693104,27420185.522388294,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,mixed,15.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.5829605530703538,0.2713949227950798,0.5664904432696218,9081.435542903619,29.060593737291583,0.22305815372102478,0.9836,0.9836,3.364,3.364,0.09007726718178122,0.09007726718178122,26021883.11265876,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,mixed,25.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.5834519211221793,0.2713949227950798,0.5657653994714373,9081.114047570645,29.05956495222606,0.22321610083350274,0.9838,0.9838,3.362,3.362,0.09066883512909128,0.09066883512909128,26023872.573395573,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,mixed,50.0,10.0,0.2,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.5830453344175646,0.27089337175792505,0.5651555194145151,9076.539947143729,29.04492783085993,0.22402927424273222,0.9838,0.9838,3.366,3.366,0.08965236836755439,0.08965236836755439,26109147.9953791,5000
