run_family,scenario_name,description,max_quote_divergence,max_nav_per_deposit_divergence,max_price_entry_divergence
adversarial,layer_c_low_tail_adv_0019,"Adversarial fairness search: pre_entry=500, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.2726205910867811919051892457,0.0000238129518829077538476626,0.00003792546611157245710987819539
adversarial,layer_c_low_tail_adv_0023,"Adversarial fairness search: pre_entry=500, late_delta_b=50, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.2726205910867811919051892457,0.0000238129518829077538476626,0.00003792546611157245710987819578
monte_carlo,layer_c_low_tail_mc_0013,Randomized active-LP resolved market path.,0.2544689224192058644103699696,0.0000213587175870531937277834,0.00002619778095881876141937228528
monte_carlo,layer_c_low_tail_mc_0001,Randomized active-LP resolved market path.,0.1695753221049425406221369729,0.0000328803942440343636811467,0.00001980453947744579218466114585
adversarial,layer_c_low_tail_adv_0011,"Adversarial fairness search: pre_entry=500, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.1644889195602462999026792174,0.0000335069666517855690750405,0.00001954234851996528088274726321
adversarial,layer_c_low_tail_adv_0015,"Adversarial fairness search: pre_entry=500, late_delta_b=50, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.1644889195602462999026792174,0.0000335069666517855690750405,0.00001954234851996528088274726321
adversarial,layer_c_low_tail_adv_0003,"Adversarial fairness search: pre_entry=500, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.09519450749194777533648846332,0.0000465543778748894121218917,0.00001087332511148268450499467804
adversarial,layer_c_low_tail_adv_0007,"Adversarial fairness search: pre_entry=500, late_delta_b=50, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.09519450749194777533648846332,0.0000465543778748894121218917,0.00001087332511148268450499467804
monte_carlo,layer_c_low_tail_mc_0004,Randomized active-LP resolved market path.,0.01370099929874920381026192606,0.0304545195997499853923334528,1E-81
monte_carlo,layer_c_low_tail_mc_0008,Randomized active-LP resolved market path.,0.01539927737764964337197544627,0.000006968421881379759349869,0.000002026947380601415803879001459
monte_carlo,layer_c_low_tail_mc_0007,Randomized active-LP resolved market path.,0.01027644503389074696392826402,0.000029779212364341918376524,0
adversarial,layer_c_low_tail_adv_0010,"Adversarial fairness search: pre_entry=250, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.008688316792035498529598892141,0.0000024043211230769395173490,0.00001146766965311025509028705760
adversarial,layer_c_low_tail_adv_0014,"Adversarial fairness search: pre_entry=250, late_delta_b=50, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.008688316792035498529598892141,0.0000024043211230769395173490,0.00001146766965311025509028705760
adversarial,layer_c_low_tail_adv_0018,"Adversarial fairness search: pre_entry=250, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.008409187019549319295772671892,0.0000013152145985751699740198,0.00005703128615709568822064803740
adversarial,layer_c_low_tail_adv_0022,"Adversarial fairness search: pre_entry=250, late_delta_b=50, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.008409187019549319295772671892,0.0000013152145985751699740198,0.00005703128615709568822064803740
adversarial,layer_c_low_tail_adv_0002,"Adversarial fairness search: pre_entry=250, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.007944946704446242561391175232,0.0000042694302602679071342806,0.00001361695296775669009063758087
adversarial,layer_c_low_tail_adv_0006,"Adversarial fairness search: pre_entry=250, late_delta_b=50, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",0.007944946704446242561391175232,0.0000042694302602679071342806,0.00001361695296775669009063757372
monte_carlo,layer_c_low_tail_mc_0015,Randomized active-LP resolved market path.,0.0008722069618885565694879415534,0.003943693502492286549020117,2E-80
monte_carlo,layer_c_low_tail_mc_0010,Randomized active-LP resolved market path.,0.0001725043188267334579927686345,0.0035380027936391931716495076,2E-80
monte_carlo,layer_c_low_tail_mc_0002,Randomized active-LP resolved market path.,0.002420159801851840531410217106,0.00009547595668185469845998869,0.00001039340235421485819523386758
