shape,count,mean_quote_divergence,max_quote_divergence,mean_nav_per_deposit_divergence,max_nav_per_deposit_divergence
winner_policy=favorite|pre_entry=100|post_entry_mode=idle,6,0.0003604338773031690752427579563,0.0004705737992397446581731086957,4.286667183866011915593E-7,5.933624739375249818309E-7
winner_policy=favorite|pre_entry=250|post_entry_mode=idle,6,0.008347483505343686795587579753,0.008688316792035498529598892141,0.000002662988660640005541883133333,0.0000042694302602679071342806
winner_policy=favorite|pre_entry=500|post_entry_mode=idle,6,0.1774346727129917557147856422,0.2726205910867811919051892457,0.0000346247654698609116815316,0.0000465543778748894121218917
winner_policy=favorite|pre_entry=50|post_entry_mode=idle,6,0.0004541631562635763289070244707,0.0006958473634011493331793692862,2.266074611760256035166333333E-7,4.452734727058454862019E-7
