run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,divergence_implemented,divergence_max_price_entry_diff,divergence_max_quote_diff,divergence_max_nav_diff,divergence_max_nav_per_deposit_diff,divergence_solvency_match,invariant_failures
monte_carlo,layer_c_low_tail_mc_0013,Randomized active-LP resolved market path.,reference_parallel_lmsr,64,100,25,8,primary,2.962642291127459568736657878E-29,True,True,2,True,1,0,0,False,,,,,,1
monte_carlo,layer_c_low_tail_mc_0013,Randomized active-LP resolved market path.,global_state_avm_fixed_point,64,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,0.00002619778095881876141937228528,0.2544689224192058644103699696,0.00931010941045931453594717,0.0000213587175870531937277834,True,1
monte_carlo,layer_c_low_tail_mc_0014,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,100,25,8,primary,5E-81,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_low_tail_mc_0014,Randomized active-LP resolved market path.,global_state_avm_fixed_point,16,100,25,8,primary,0.000000,True,True,2,True,1,0,0,True,0.00001032693949971860156669797863,0.0001235103912609598574631405140,0.07551115386370164211835487,0.0013395620179099063681536298,True,0
monte_carlo,layer_c_low_tail_mc_0015,Randomized active-LP resolved market path.,reference_parallel_lmsr,32,100,25,7,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_low_tail_mc_0015,Randomized active-LP resolved market path.,global_state_avm_fixed_point,32,100,25,7,primary,0.00000,True,True,2,True,1,0,0,True,2E-80,0.0008722069618885565694879415534,0.6833922453952472304148036,0.003943693502492286549020117,True,0
adversarial,layer_c_low_tail_adv_0000,"Adversarial fairness search: pre_entry=50, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",reference_parallel_lmsr,16,100,25,7,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_low_tail_adv_0000,"Adversarial fairness search: pre_entry=50, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",global_state_avm_fixed_point,16,100,25,7,primary,0.000000,True,True,2,True,1,0,0,True,0.00001032693949971860156669797863,0.0001235103912609598574631405140,0.00022574162823864253103562,4.452734727058454862019E-7,True,0
adversarial,layer_c_low_tail_adv_0001,"Adversarial fairness search: pre_entry=100, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",reference_parallel_lmsr,16,100,25,7,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_low_tail_adv_0001,"Adversarial fairness search: pre_entry=100, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",global_state_avm_fixed_point,16,100,25,7,primary,0.000000,True,True,2,True,1,0,0,True,0.00001311897973067952835933362985,0.0004705737992397446581731086957,0.00031343601576249910471030,5.933624739375249818309E-7,True,0
adversarial,layer_c_low_tail_adv_0002,"Adversarial fairness search: pre_entry=250, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",reference_parallel_lmsr,16,100,25,7,primary,7.419422762462116291367197871E-29,True,True,2,True,1,0,0,False,,,,,,0
adversarial,layer_c_low_tail_adv_0002,"Adversarial fairness search: pre_entry=250, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",global_state_avm_fixed_point,16,100,25,7,primary,0.00000,True,True,2,True,1,0,0,True,0.00001361695296775669009063758087,0.007944946704446242561391175232,0.0012693891421222239685109,0.0000042694302602679071342806,True,0
adversarial,layer_c_low_tail_adv_0003,"Adversarial fairness search: pre_entry=500, late_delta_b=20, counterflow_ratio=0, post_entry_mode=idle, winner_policy=favorite",reference_parallel_lmsr,16,100,25,7,primary,0E-80,True,True,2,True,1,0,0,False,,,,,,0
