run_family,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_max_price_change,max_max_price_change,invariant_failures
adversarial,1152,1,1,1,8.732059201195012562457481753E-30,7.437719077499784281812990474E-29,0
deterministic,18,1,1,1,6.711904072262239939115243739E-30,3.709404702152548257295422586E-29,0
monte_carlo,512,1,1,1,1.380017256426418299967540737E-29,1.331354052328818386740688393E-28,0
