run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
deterministic,neutral_late_lp,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.0134255004284903866736110067,,,0
deterministic,neutral_late_lp,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,0.0134255004284903866736110067,3.318756508239871852862705333E-27,0,0
deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,,,0
deterministic,skewed_late_lp,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1139392829117664504807242379,1.562319718237439645619824510E-26,0,0
deterministic,long_tail_late_lp,reference_parallel_lmsr,True,3.374692031740994479984785479E-29,True,True,1,0,0,0.0211738279275841992730247060,,,0
deterministic,long_tail_late_lp,global_state_fungible_fees_cohort_residual,True,4E-80,True,True,1,0,0,0.0211738279275841992730247060,4.113632320839174190388097129E-27,0,0
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr,True,2.624120992910607646011639570E-29,True,True,1,0,0,0.0208632596755901026139658264,,,0
deterministic,early_vs_late_same_delta_b,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,0.0208632596755901026139658264,4.571362005618872722001083632E-27,0,0
deterministic,same_final_claims_different_timing,reference_parallel_lmsr,True,1E-80,True,True,2,0,0.00003325045902808599741449,0.0400594700638785947641349721,,,0
deterministic,same_final_claims_different_timing,global_state_fungible_fees_cohort_residual,True,0E-80,True,True,2,0,0.00003325045902808599741439,0.0400594700638785947641349721,2.553817375184889134398271775E-27,0,0
deterministic,cancellation_refund_path,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,-0.0191069784755991348061986554,,,0
deterministic,cancellation_refund_path,global_state_fungible_fees_cohort_residual,True,0E-80,True,True,1,0,0,-0.0191069784755991348061986553,1.185701875453484651450107352E-26,1E-28,0
deterministic,repeated_lp_entries,reference_parallel_lmsr,True,3.709404702152548257295422586E-29,True,True,1,0,0,0.0079725121970881734901486649,,,0
deterministic,repeated_lp_entries,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,0.0079725121970881734901486641,1.608465989152222864691681163E-26,1E-27,0
deterministic,zero_flow_nav_invariance,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,0.0000857418094000871563931488,,,0
deterministic,zero_flow_nav_invariance,global_state_fungible_fees_cohort_residual,True,0E-80,True,True,1,0,0,0.0000857418094000871563931488,6.417475502583301159305912706E-27,0,0
deterministic,same_block_trade_reordering,reference_parallel_lmsr,True,2E-80,True,True,2,0,0.00002464681597011885414892,0.0189009676447594154980598792,,,0
deterministic,same_block_trade_reordering,global_state_fungible_fees_cohort_residual,True,0E-80,True,True,2,0,0.00002464681597011885414893,0.0189009676447594154980598792,8.734780043416597363130665602E-27,0,0
monte_carlo,paper_core_mc_0000,reference_parallel_lmsr,True,2.293371126136235620733880613E-29,True,True,1,0,0,-0.011124723600532211929758328,,,0
monte_carlo,paper_core_mc_0000,global_state_fungible_fees_cohort_residual,True,1E-81,True,True,1,0,0,-0.011124723600532211929758328,3.166935530439574711134954857E-27,0,0
monte_carlo,paper_core_mc_0001,reference_parallel_lmsr,True,2.296802881476858128900545963E-29,True,True,1,0,0,0.0107516327047656335395664993,,,0
monte_carlo,paper_core_mc_0001,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.0107516327047656335395664993,2.944671956385052048233113715E-27,0,0
monte_carlo,paper_core_mc_0002,reference_parallel_lmsr,True,1.942059842222420580735571916E-29,True,True,1,0,0,-0.006552887458768852667877444,,,0
monte_carlo,paper_core_mc_0002,global_state_fungible_fees_cohort_residual,True,0E-80,True,True,1,0,0,-0.006552887458768852667877444,1.028026875488818601257921579E-26,0,0
monte_carlo,paper_core_mc_0003,reference_parallel_lmsr,True,1.331354052328818386740688393E-28,True,True,1,0,0,-0.059625826465423486712703208,,,0
monte_carlo,paper_core_mc_0003,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,-0.0596258264654234867127032081,1.116035254433012576590719417E-26,1E-28,0
monte_carlo,paper_core_mc_0004,reference_parallel_lmsr,True,1.571163226246064548685448149E-29,True,True,1,0,0,-0.0069246991336561507596445004,,,0
monte_carlo,paper_core_mc_0004,global_state_fungible_fees_cohort_residual,True,5E-80,True,True,1,0,0,-0.0069246991336561507596445003,2.908427917532921044051724913E-27,1E-28,0
monte_carlo,paper_core_mc_0005,reference_parallel_lmsr,True,8.969264525753937093189190729E-30,True,True,1,0,0,-0.0054506821388997948297528960,,,0
monte_carlo,paper_core_mc_0005,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,-0.0054506821388997948297528969,2.584748893837818594361020395E-27,1E-27,0
monte_carlo,paper_core_mc_0006,reference_parallel_lmsr,True,1.717433738251868173540463107E-29,True,True,1,0,0,-0.003691906547885339739644905,,,0
monte_carlo,paper_core_mc_0006,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,-0.003691906547885339739644905,2.886671602281639687399447167E-27,0,0
monte_carlo,paper_core_mc_0007,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.004693415725360192288208453,,,0
monte_carlo,paper_core_mc_0007,global_state_fungible_fees_cohort_residual,True,0E-80,True,True,1,0,0,-0.004693415725360192288208453,5.971820047571527678755880720E-27,0,0
monte_carlo,paper_core_mc_0008,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.0052672291570304846053224727,,,0
monte_carlo,paper_core_mc_0008,global_state_fungible_fees_cohort_residual,True,4E-80,True,True,1,0,0,-0.0052672291570304846053224728,3.285260788455080245308963248E-27,1E-28,0
monte_carlo,paper_core_mc_0009,reference_parallel_lmsr,True,1.664490104859896464677083280E-29,True,True,1,0,0,-0.0016602215252138617186703189,,,0
monte_carlo,paper_core_mc_0009,global_state_fungible_fees_cohort_residual,True,3E-80,True,True,1,0,0,-0.0016602215252138617186703185,4.030669888800306862306728280E-27,4E-28,0
monte_carlo,paper_core_mc_0010,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.0091312901571497745567918524,,,0
monte_carlo,paper_core_mc_0010,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,-0.0091312901571497745567918523,9.340502659321008803895445643E-27,1E-28,0
monte_carlo,paper_core_mc_0011,reference_parallel_lmsr,True,1.367570708444986278094627765E-29,True,True,1,0,0,-0.0011312154923600976974156326,,,0
monte_carlo,paper_core_mc_0011,global_state_fungible_fees_cohort_residual,True,4E-81,True,True,1,0,0,-0.0011312154923600976974156326,3.735008800950965880755602743E-27,5E-28,0
monte_carlo,paper_core_mc_0012,reference_parallel_lmsr,True,1.571269116339037864822927299E-29,True,True,1,0,0,-0.0067833246360709007897067368,,,0
monte_carlo,paper_core_mc_0012,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,-0.0067833246360709007897067368,3.772713881512570090108679116E-27,1E-28,0
monte_carlo,paper_core_mc_0013,reference_parallel_lmsr,True,3.264764359105033522314688567E-29,True,True,1,0,0,-0.058836225666218390864303903,,,0
monte_carlo,paper_core_mc_0013,global_state_fungible_fees_cohort_residual,True,3E-80,True,True,1,0,0,-0.058836225666218390864303903,7.689499516869492745288799449E-27,1E-27,0
monte_carlo,paper_core_mc_0014,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.0198990905695636355937548916,,,0
monte_carlo,paper_core_mc_0014,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,-0.0198990905695636355937548916,1.219993765631244193287348003E-26,0,0
monte_carlo,paper_core_mc_0015,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.0037004556924014256998244129,,,0
monte_carlo,paper_core_mc_0015,global_state_fungible_fees_cohort_residual,True,1E-81,True,True,1,0,0,-0.0037004556924014256998244130,3.736934111864479457498855357E-27,1E-28,0
monte_carlo,paper_core_mc_0016,reference_parallel_lmsr,True,1.480738044380682856067302931E-29,True,True,1,0,0,-0.0025224883772278844165448908,,,0
monte_carlo,paper_core_mc_0016,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,-0.0025224883772278844165448904,5.629578603353301616091934266E-27,4E-28,0
