run_family,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_max_price_change,max_max_price_change,invariant_failures
adversarial,48,1,1,1,6.144379769979239088436996348E-30,7.419422762462116291367197871E-29,0
monte_carlo,32,1,1,1,2.062373868096549644795695947E-30,2.962642291127459568736657878E-29,0
