run_family,scenario_name,active_lp_fairness_gap_nav_per_deposit,fpmm_fairness_gap_nav_per_deposit,fpmm_minus_active_lp_gap,active_lp_max_price_change,fpmm_max_price_change,active_lp_slippage_pass,fpmm_slippage_pass,active_lp_solvency_pass,fpmm_solvency_pass
adversarial,fpmm_compare_adv_0000,0.0860420004838025632165175557,0.0304040971776537297542500452,-0.0556379033061488334622675105,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0001,0.089529918114934902159987604,-0.015799069482302607099181522,-0.105328987597237509259169126,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0006,0.0509727589591405724899729324,0.0265608815961171692089427734,-0.0244118773630234032810301590,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0007,0.0525194167357253440474987482,-0.0080914933988500834311309022,-0.0606109101345754274786296504,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0014,0.0834955651975801316844874107,0.0311869378603941933385449469,-0.0523086273371859383459424638,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0015,0.094200819047031423425068466,-0.016232829404962017332611913,-0.110433648451993440757680379,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0016,0.0904834621100384031935567494,0.0299900524339972071218200301,-0.0604934096760411960717367193,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0017,0.0869150441602213059466963972,-0.0149965136205592559138862433,-0.1019115577807805618605826405,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0020,0.0510534613361227392607179738,0.0275325023074465460205237105,-0.0235209590286761932401942633,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0021,0.057039233087838521601758839,-0.008626631047214863396281773,-0.065665864135053384998040612,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0022,0.0553377643817301667467268028,0.026044124480183704940097821,-0.0292936399015464618066289818,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0023,0.0526169590400411747735264090,-0.0071014921550893909232440449,-0.0597184511951305656967704539,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0024,0.0379900849788177726787381020,0.0994008192899352148239873176,0.0614107343111174421452492156,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0025,0.043480744523975360357921530,-0.054609736243252574687451240,-0.098090480767227935045372770,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0030,-0.0025157345647623716712945463,0.0869769375514858135537402411,0.0894926721162481852250347874,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0031,-0.002710342284233461704311113,-0.0285309790984050285798386772,-0.0258206368141715668755275642,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
adversarial,fpmm_compare_adv_0038,0.0377362210272832135519698789,0.1018983956124905909563151982,0.0641621745852073774043453193,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0039,0.046934707363158672377700405,-0.056159793381424044787894356,-0.103094500744582717165594761,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0040,0.0409391296007133950078507146,0.0980768497875374270303082399,0.0571377201868240320224575253,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0041,0.0432387511846822597142833458,-0.0518860722849235162483593205,-0.0951248234696057759626426663,1.726236382983195709702754400E-28,3.235528482833867517121066779E-29,True,True,True,True
adversarial,fpmm_compare_adv_0044,0.0000669179143348042094906433,0.0900307580849686752413782258,0.0899638401706338710318875825,2.339249273041892416921891970E-29,6.374558085569036933967843391E-29,True,True,True,True
