run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,nav,nav_per_deposit,nav_per_risk
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,128.0652775654219916283959112,0.9861702271181265999085391711,0.9861702271181265999085391711
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,46.79419604602278193813188317,1.033238242099593340406667006,1.033238242099593340406667006
deterministic,neutral_late_lp,fpmm_pool_share,creator:bootstrap,creator,1,129.2369403700018257854985887,0.9951926490896722549670409179,0.9951926490896722549670409179
deterministic,neutral_late_lp,fpmm_pool_share,lp_late:4,lp_late,4,45.62448850686787979515756630,1.007410539870488055012747652,1.007410539870488055012747652
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,119.4294410175789184735150197,0.9196697279067706824577717841,0.9196697279067706824577717841
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:5,lp_late,5,52.99325742137792480346398347,0.8844734202556880256411901398,0.8844734202556880256411901398
deterministic,skewed_late_lp,fpmm_pool_share,creator:bootstrap,creator,1,113.0619051206220076572139507,0.8706363408633782306859107260,0.8706363408633782306859107260
deterministic,skewed_late_lp,fpmm_pool_share,lp_late:5,lp_late,5,59.17356932906360174048310385,0.9876246866096703852823960185,0.9876246866096703852823960185
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,312.1714883280952410348640292,1.003373831211740857029374585,1.003373831211740857029374585
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:5,lp_late,5,118.8175841308245688628801312,0.9444862327213892110795951479,0.9444862327213892110795951479
deterministic,long_tail_late_lp,fpmm_pool_share,creator:bootstrap,creator,1,304.9881418673423549170091915,0.9802852977333993485710509281,0.9802852977333993485710509281
deterministic,long_tail_late_lp,fpmm_pool_share,lp_late:5,lp_late,5,125.9815834977198379496784173,1.001433180622697069541268585,1.001433180622697069541268585
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,121.8248780994692492530306101,0.9381158576931070872124525343,0.9381158576931070872124525343
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,lp_early:2,lp_early,2,35.52612341423737359545112029,1.077909036720833564266488371,1.077909036720833564266488371
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,lp_late:5,lp_late,5,32.45044111342365586771284258,0.9509399893810285793546429439,0.9509399893810285793546429439
deterministic,early_vs_late_same_delta_b,fpmm_pool_share,creator:bootstrap,creator,1,124.5847662188040152013045506,0.9593684528165166962192403380,0.9593684528165166962192403380
deterministic,early_vs_late_same_delta_b,fpmm_pool_share,lp_early:2,lp_early,2,31.61921914874210438307592315,0.9593684528165166962192403379,0.9593684528165166962192403379
deterministic,early_vs_late_same_delta_b,fpmm_pool_share,lp_late:5,lp_late,5,33.57379857429523745363630445,0.9838592809302095172984690611,0.9838592809302095172984690611
deterministic,same_final_claims_different_timing,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,123.1425886161634713366058021,0.9482629241285071405122945109,0.9482629241285071405122945109
deterministic,same_final_claims_different_timing,reference_parallel_lmsr_reserve_residual,lp_timing:3,lp_timing,3,40.61207610165413657350316480,1.030505229104224027934019630,1.030505229104224027934019630
deterministic,same_final_claims_different_timing,fpmm_pool_share,creator:bootstrap,creator,1,124.3896207575706704753699076,0.9578657297718003170764546148,0.9578657297718003170764546148
deterministic,same_final_claims_different_timing,fpmm_pool_share,lp_timing:3,lp_timing,3,39.34407372320224737333360437,0.9983304868369100049730479181,0.9983304868369100049730479181
deterministic,repeated_lp_entries,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,126.9555593732468447221545286,0.9776248113550176388033759386,0.9776248113550176388033759386
deterministic,repeated_lp_entries,reference_parallel_lmsr_reserve_residual,lp_one:3,lp_one,3,30.05376651713151030847337480,1.074293689088849460943898250,1.074293689088849460943898250
deterministic,repeated_lp_entries,reference_parallel_lmsr_reserve_residual,lp_three:7,lp_three,7,21.35037489233521742626589965,0.9419741830607934856818468792,0.9419741830607934856818468792
deterministic,repeated_lp_entries,reference_parallel_lmsr_reserve_residual,lp_two:5,lp_two,5,34.04290159658542002041079016,0.9974612067061717391798693954,0.9974612067061717391798693954
deterministic,repeated_lp_entries,fpmm_pool_share,creator:bootstrap,creator,1,127.5563456434897715814784235,0.9822511827168588914948023340,0.9822511827168588914948023340
deterministic,repeated_lp_entries,fpmm_pool_share,lp_one:3,lp_one,3,28.32395694416631511628218552,1.012460390873043828930130305,1.012460390873043828930130305
deterministic,repeated_lp_entries,fpmm_pool_share,lp_three:7,lp_three,7,22.46038782878101592183099513,0.9909477272851066187287777787,0.9909477272851066187287777787
deterministic,repeated_lp_entries,fpmm_pool_share,lp_two:5,lp_two,5,34.05320248033980483172801575,0.9977630238679855621684101779,0.9977630238679855621684101779
deterministic,zero_flow_nav_invariance,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,129.8500943300770099371864154,0.9999142581905999128436068512,0.9999142581905999128436068512
deterministic,zero_flow_nav_invariance,reference_parallel_lmsr_reserve_residual,lp_static:3,lp_static,3,39.04453898492413331068194080,1.000000000000000000000000000,1.000000000000000000000000000
deterministic,zero_flow_nav_invariance,fpmm_pool_share,creator:bootstrap,creator,1,129.8565686982560906938778805,0.9999641142425992438828948397,0.9999641142425992438828948397
deterministic,zero_flow_nav_invariance,fpmm_pool_share,lp_static:3,lp_static,3,39.04453898492413331068194081,1.000000000000000000000000000,1.000000000000000000000000000
deterministic,same_block_trade_reordering,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,124.7286488059720652120893857,0.9604764246755818811707427329,0.9604764246755818811707427329
deterministic,same_block_trade_reordering,reference_parallel_lmsr_reserve_residual,lp_block:4,lp_block,3,35.19305795476255693548199392,1.036075075229116351686738046,1.036075075229116351686738046
deterministic,same_block_trade_reordering,fpmm_pool_share,creator:bootstrap,creator,1,126.2086354695061773482386870,0.9718731030872117656285803267,0.9718731030872117656285803267
deterministic,same_block_trade_reordering,fpmm_pool_share,lp_block:3,lp_block,3,33.70153561871995575174202893,0.9921650200555186495033328683,0.9921650200555186495033328683
adversarial,fpmm_compare_adv_0000,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,124.8584311460684394969815986,0.9614758171904138669776220013,0.9614758171904138669776220013
adversarial,fpmm_compare_adv_0000,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,23.44376122445029388696427578,1.047517817674216430194139557,1.047517817674216430194139557
adversarial,fpmm_compare_adv_0000,fpmm_pool_share,creator:bootstrap,creator,1,125.9129154447349166944831628,0.9695959028223462702457499548,0.9695959028223462702457499548
adversarial,fpmm_compare_adv_0000,fpmm_pool_share,lp_late:3,lp_late,3,22.38029829077468480584150739,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,fpmm_compare_adv_0001,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,129.9098145452779256629895038,1.000374135366582640692171108,1.000374135366582640692171108
adversarial,fpmm_compare_adv_0001,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,24.39237782524080772095637064,1.089904053481517542852158712,1.089904053481517542852158712
adversarial,fpmm_compare_adv_0001,fpmm_pool_share,creator:bootstrap,creator,1,131.9129154447349166944831628,1.015799069482302607099181522,1.015799069482302607099181522
adversarial,fpmm_compare_adv_0001,fpmm_pool_share,lp_late:3,lp_late,3,22.38029829077468480584150739,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,fpmm_compare_adv_0006,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,125.9503587675637090840173888,0.9698842361698398106668994216,0.9698842361698398106668994216
adversarial,fpmm_compare_adv_0006,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,22.94761409311877028222262235,1.020856995128980383156872354,1.020856995128980383156872354
adversarial,fpmm_compare_adv_0006,fpmm_pool_share,creator:bootstrap,creator,1,126.4120001429533299966369421,0.9734391184038828307910572264,0.9734391184038828307910572264
adversarial,fpmm_compare_adv_0006,fpmm_pool_share,lp_late:4,lp_late,4,22.47877440485133703431987708,0.9999999999999999999999999998,0.9999999999999999999999999998
adversarial,fpmm_compare_adv_0007,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,129.7567171490665992574277934,0.9991952046145230937285417018,0.9991952046145230937285417018
adversarial,fpmm_compare_adv_0007,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,23.64125571161588010881221773,1.051714621350248437776040450,1.051714621350248437776040450
adversarial,fpmm_compare_adv_0007,fpmm_pool_share,creator:bootstrap,creator,1,130.9120001429533299966369421,1.008091493398850083431130902,1.008091493398850083431130902
adversarial,fpmm_compare_adv_0007,fpmm_pool_share,lp_late:4,lp_late,4,22.47877440485133703431987708,0.9999999999999999999999999998,0.9999999999999999999999999998
adversarial,fpmm_compare_adv_0014,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,118.3746550122727299937413188,0.9115473189744787798937037298,0.9115473189744787798937037298
adversarial,fpmm_compare_adv_0014,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,22.26935655988344272810145736,0.9950428841720589115781911405,0.9950428841720589115781911405
adversarial,fpmm_compare_adv_0014,fpmm_pool_share,creator:bootstrap,creator,1,119.3114968058940349694049744,0.9187614952285950421031585304,0.9187614952285950421031585304
adversarial,fpmm_compare_adv_0014,fpmm_pool_share,lp_late:3,lp_late,3,21.26012929338559582123135152,0.9499484330889892354417034773,0.9499484330889892354417034773
adversarial,fpmm_compare_adv_0015,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,133.5241948895733434906738342,1.028206771603241233183522315,1.028206771603241233183522315
adversarial,fpmm_compare_adv_0015,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,25.11981668258282923116894202,1.122407590650272656608590781,1.122407590650272656608590781
adversarial,fpmm_compare_adv_0015,fpmm_pool_share,creator:bootstrap,creator,1,135.5706594804716590703169429,1.043965629029403606309546574,1.043965629029403606309546574
adversarial,fpmm_compare_adv_0015,fpmm_pool_share,lp_late:3,lp_late,3,23.00096661880797172031938299,1.027732799624441588976934661,1.027732799624441588976934661
adversarial,fpmm_compare_adv_0016,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,128.2651137191754032740547025,0.9877090709708855227973203366,0.9877090709708855227973203366
adversarial,fpmm_compare_adv_0016,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,24.13027050523702954562327158,1.078192533080923925990877086,1.078192533080923925990877086
adversarial,fpmm_compare_adv_0016,fpmm_pool_share,creator:bootstrap,creator,1,129.4044083478885370178179136,0.9964822409050898552149208779,0.9964822409050898552149208779
adversarial,fpmm_compare_adv_0016,fpmm_pool_share,lp_late:3,lp_late,3,22.97275611214434106064316343,1.026472293339087062336740908,1.026472293339087062336740908
adversarial,fpmm_compare_adv_0017,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,123.2152670934085321084105308,0.9488225867612980383673808088,0.9488225867612980383673808088
adversarial,fpmm_compare_adv_0017,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,23.18011713100390071126744336,1.035737630921519344314077206,1.035737630921519344314077206
adversarial,fpmm_compare_adv_0017,fpmm_pool_share,creator:bootstrap,creator,1,125.1452456733109129169059451,0.9636844404241939647153959683,0.9636844404241939647153959683
adversarial,fpmm_compare_adv_0017,fpmm_pool_share,lp_late:3,lp_late,3,21.23191878672196516155513197,0.9486879268036347088015097250,0.9486879268036347088015097250
adversarial,fpmm_compare_adv_0020,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,119.4027879989428348448342155,0.9194644855964317001192755251,0.9194644855964317001192755251
adversarial,fpmm_compare_adv_0020,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,21.81605398495637291696734424,0.9705179469325544393799934989,0.9705179469325544393799934989
adversarial,fpmm_compare_adv_0020,fpmm_pool_share,creator:bootstrap,creator,1,119.7970889160466165300718011,0.9225008107609516423360342350,0.9225008107609516423360342350
adversarial,fpmm_compare_adv_0020,fpmm_pool_share,lp_late:4,lp_late,4,21.35558452155802644096210301,0.9500333130683981883565579455,0.9500333130683981883565579455
adversarial,fpmm_compare_adv_0021,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,133.3534052828934521287848328,1.026891601493037997741451803,1.026891601493037997741451803
adversarial,fpmm_compare_adv_0021,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,24.36543670100575563301672696,1.083930834580876519343210642,1.083930834580876519343210642
adversarial,fpmm_compare_adv_0021,fpmm_pool_share,creator:bootstrap,creator,1,134.5552819265058293310992576,1.036146685971293266174996917,1.036146685971293266174996917
adversarial,fpmm_compare_adv_0021,fpmm_pool_share,lp_late:4,lp_late,4,23.09739151109881363993464657,1.027520054924078402778715144,1.027520054924078402778715144
adversarial,fpmm_compare_adv_0022,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,129.3906712511021524624738895,0.9963764580097156425108309562,0.9963764580097156425108309562
adversarial,fpmm_compare_adv_0022,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,23.64124674351095899273462473,1.051714222391445809257557759,1.051714222391445809257557759
adversarial,fpmm_compare_adv_0022,fpmm_pool_share,creator:bootstrap,creator,1,129.9301450403539490618958624,1.000530690908628795821561747,1.000530690908628795821561747
adversarial,fpmm_compare_adv_0022,fpmm_pool_share,lp_late:4,lp_late,4,23.07614368482702490891701056,1.026574815388812500761659568,1.026574815388812500761659568
adversarial,fpmm_compare_adv_0023,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,123.0494815765791446061326998,0.9475459507839855072280235570,0.9475459507839855072280235570
adversarial,fpmm_compare_adv_0023,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,22.48243641803396684907581440,1.000162909824026682001549966,1.000162909824026682001549966
adversarial,fpmm_compare_adv_0023,fpmm_pool_share,creator:bootstrap,creator,1,124.1719520298947362608684059,0.9561895656882216772627464159,0.9561895656882216772627464159
adversarial,fpmm_compare_adv_0023,fpmm_pool_share,lp_late:4,lp_late,4,21.33433669528623770994446702,0.9490880735331322863395023710,0.9490880735331322863395023710
adversarial,fpmm_compare_adv_0024,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,118.2550783820093199798006170,0.9106265158116960613133567601,0.9106265158116960613133567601
adversarial,fpmm_compare_adv_0024,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,22.19415469799138660449154065,0.9486166007905138339920948621,0.9486166007905138339920948621
adversarial,fpmm_compare_adv_0024,fpmm_pool_share,creator:bootstrap,creator,1,116.9529163234521736000662393,0.9005991807100647851760126824,0.9005991807100647851760126824
adversarial,fpmm_compare_adv_0024,fpmm_pool_share,lp_late:3,lp_late,3,23.39633807746592004556816576,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,fpmm_compare_adv_0025,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,135.0930230460409405331603008,1.040287576398925307028520447,1.040287576398925307028520447
adversarial,fpmm_compare_adv_0025,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,25.35621003395976605113185686,1.083768320922900667386441977,1.083768320922900667386441977
adversarial,fpmm_compare_adv_0025,fpmm_pool_share,creator:bootstrap,creator,1,136.9529163234521736000662393,1.054609736243252574687451240,1.054609736243252574687451240
adversarial,fpmm_compare_adv_0025,fpmm_pool_share,lp_late:3,lp_late,3,23.39633807746592004556816576,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,fpmm_compare_adv_0030,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,120.4295670103472335586462154,0.9273712258942421404574217142,0.9273712258942421404574217142
adversarial,fpmm_compare_adv_0030,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,21.93030924022156986410267152,0.9248554913294797687861271679,0.9248554913294797687861271679
adversarial,fpmm_compare_adv_0030,fpmm_pool_share,creator:bootstrap,creator,1,118.5662968733031446350654507,0.9130230624485141864462597583,0.9130230624485141864462597583
adversarial,fpmm_compare_adv_0030,fpmm_pool_share,lp_late:4,lp_late,4,23.71214686598957241556101356,0.9999999999999999999999999994,0.9999999999999999999999999994
adversarial,fpmm_compare_adv_0031,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,133.1174282820235341366808975,1.025074454043186417329562649,1.025074454043186417329562649
adversarial,fpmm_compare_adv_0031,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,24.24244796854526928606798944,1.022364111758952955625251536,1.022364111758952955625251536
adversarial,fpmm_compare_adv_0031,fpmm_pool_share,creator:bootstrap,creator,1,133.5662968733031446350654508,1.028530979098405028579838677,1.028530979098405028579838677
adversarial,fpmm_compare_adv_0031,fpmm_pool_share,lp_late:4,lp_late,4,23.71214686598957241556101357,0.9999999999999999999999999998,0.9999999999999999999999999998
adversarial,fpmm_compare_adv_0038,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,112.1076423133334372346468706,0.8632880136096196280475450623,0.8632880136096196280475450623
adversarial,fpmm_compare_adv_0038,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,21.08066760955495747472427845,0.9010242346369028415995149412,0.9010242346369028415995149412
adversarial,fpmm_compare_adv_0038,fpmm_pool_share,creator:bootstrap,creator,1,110.6292307746824225944202216,0.8519034644909037432307465252,0.8519034644909037432307465252
adversarial,fpmm_compare_adv_0038,fpmm_pool_share,lp_late:3,lp_late,3,22.31547077789486742400918979,0.9538018601033943341870617234,0.9538018601033943341870617234
adversarial,fpmm_compare_adv_0039,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,139.0401576507567501180824534,1.070682596060752878340555880,1.070682596060752878340555880
adversarial,fpmm_compare_adv_0039,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,26.14815227213164459128869563,1.117617303423911550718256285,1.117617303423911550718256285
adversarial,fpmm_compare_adv_0039,fpmm_pool_share,creator:bootstrap,creator,1,140.8775507123598189189787389,1.084831492368268546376006687,1.084831492368268546376006687
adversarial,fpmm_compare_adv_0039,fpmm_pool_share,lp_late:3,lp_late,3,24.06715084021747109945067258,1.028671698986844501588112331,1.028671698986844501588112331
adversarial,fpmm_compare_adv_0040,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,121.4958712894625545607154979,0.9355823316139404363604183317,0.9355823316139404363604183317
adversarial,fpmm_compare_adv_0040,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,22.84702624647906502892279342,0.9765214612146538313682690463,0.9765214612146538313682690463
adversarial,fpmm_compare_adv_0040,fpmm_pool_share,creator:bootstrap,creator,1,120.3051129044794335558085970,0.9264128635950878382239568131,0.9264128635950878382239568131
adversarial,fpmm_compare_adv_0040,fpmm_pool_share,lp_late:3,lp_late,3,23.96930769118606225763393639,1.024489713382625265254265053,1.024489713382625265254265053
adversarial,fpmm_compare_adv_0041,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,128.2290001238183827815743936,0.9874309772267237489336710362,0.9874309772267237489336710362
