run_family,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_max_price_change,max_max_price_change,invariant_failures
adversarial,48,1,1,1,4.406728410520278580243690248E-29,1.726236382983195709702754400E-28,0
deterministic,16,1,1,1,2.93974505586351014613581185E-29,9.835305542738914098283329197E-29,0
high_skew,24,1,1,1,1.111214347214029749153866117E-29,7.419422762462116291367197871E-29,0
