run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,invariant_failures
deterministic,neutral_late_lp,Near-neutral market with one late LP joining after balanced trading.,reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,0
deterministic,skewed_late_lp,Skewed market where an LP joins after one-sided order flow develops.,reference_parallel_lmsr,3,100,25,11,primary,2.373209603267881507115591096E-29,True,True,2,True,1,0,0,0
deterministic,long_tail_late_lp,Long-tail market with many outcomes and one late LP entry.,reference_parallel_lmsr,8,100,25,10,primary,3.374692031740994479984785479E-29,True,True,2,True,1,0,0,0
deterministic,early_vs_late_same_delta_b,Earlier and later LP cohorts both add the same delta-b under different market states.,reference_parallel_lmsr,3,100,25,12,primary,2.624120992910607646011639570E-29,True,True,3,True,1,0,0,0
deterministic,same_final_claims_different_timing,"Same final claims and LP size, but different LP entry timing for fairness/path-dependence comparison.",reference_parallel_lmsr,3,100,25,10,lp_before_second_trade|lp_after_second_trade,1E-80,True,True,2,True,2,0,0.00003325045902808599741449,0
deterministic,cancellation_refund_path,"Cancellation path with active LP cohort, refunds, and post-refund LP residual claims.",reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,0
deterministic,repeated_lp_entries,"Multiple LP cohorts join during active trading, including after an intermediate sell.",reference_parallel_lmsr,3,100,25,15,primary,3.709404702152548257295422586E-29,True,True,4,True,1,0,0,0
deterministic,zero_flow_nav_invariance,"Zero-flow LP entry sanity check: no trades after entry, used for NAV invariance validation.",reference_parallel_lmsr,3,100,25,3,primary,1E-80,True,True,2,True,1,0,0,0
deterministic,same_block_trade_reordering,Same-block reordering stress test around LP entry and adjacent trades.,reference_parallel_lmsr,3,100,25,10,lp_after_block_trade|lp_before_block_trade,2E-80,True,True,2,True,2,0,0.00002464681597011885414892,0
