run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,nav,nav_per_deposit,nav_per_risk
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,128.0872892484067150882977184,0.9863397286943614837672916120,0.9863397286943614837672916120
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,46.77218436303805847823007603,1.032752213605580518512989184,1.032752213605580518512989184
deterministic,neutral_late_lp,global_state_fungible_fees_reserve_residual,creator:bootstrap,creator,1,128.0872892484067150882977184,0.9863397286943614837672916120,0.9863397286943614837672916120
deterministic,neutral_late_lp,global_state_fungible_fees_reserve_residual,lp_late:4,lp_late,4,46.77218436303805847823007603,1.032752213605580518512989184,1.032752213605580518512989184
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,119.4599864502786249944799504,0.9199049438597248525263595364,0.9199049438597248525263595364
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:5,lp_late,5,52.96271198867821828249905273,0.8839636077880701994462505645,0.8839636077880701994462505645
deterministic,skewed_late_lp,global_state_fungible_fees_reserve_residual,creator:bootstrap,creator,1,119.4599864502786249944799504,0.9199049438597248525263595364,0.9199049438597248525263595364
deterministic,skewed_late_lp,global_state_fungible_fees_reserve_residual,lp_late:5,lp_late,5,52.96271198867821828249905273,0.8839636077880701994462505645,0.8839636077880701994462505645
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,312.2431260452810519161992290,1.003604087380031422634918548,1.003604087380031422634918548
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,lp_late:5,lp_late,5,118.7459464136387579815449314,0.9439167813382413378845602616,0.9439167813382413378845602616
deterministic,long_tail_late_lp,global_state_fungible_fees_reserve_residual,creator:bootstrap,creator,1,312.2431260452810519161992290,1.003604087380031422634918548,1.003604087380031422634918548
deterministic,long_tail_late_lp,global_state_fungible_fees_reserve_residual,lp_late:5,lp_late,5,118.7459464136387579815449314,0.9439167813382413378845602616,0.9439167813382413378845602616
