mode,name,scheme,linear_lambda,train_mean_gap_nav_per_deposit,train_mean_abs_gap_nav_per_deposit,train_duration_max_abs_mean_gap,test_mean_gap_nav_per_deposit,test_mean_abs_gap_nav_per_deposit,test_duration_max_abs_mean_gap
event_clock,linear_lambda_0025000,linear_lambda,0.02500,-0.1913731455319319750713405213,0.2246856955595471242924191256,0.5498121497344014127144562308,-0.1846603336796076648690178761,0.2131075384903333349152419593,0.5300858733680556496009969495
normalized,linear_lambda_normalized_0150000,linear_lambda_normalized,0.150,-0.006080751976798165788329385368,0.04471909044011419161648662833,0.02120390074960703757732752967,-0.006767417693685025675248916087,0.03935918258061666491880272934,0.02226849754621793096565345957
