pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,composition_scenario,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,false_resolution_rate_se,false_resolution_rate_ci_low,false_resolution_rate_ci_high,challenge_rate,challenge_rate_se,challenge_rate_ci_low,challenge_rate_ci_high,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,single_source_corrupt,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.8814,0.004572396308283,0.8724381032357653,0.8903618967642346,0.1312,0.004774653076402515,0.12184167997025108,0.14055832002974894,0.8268,848.4,27.1488,0.0,1.0,1.0,10.0,10.0,0.0,0.0,6667031.412271908,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,three_source_one_corrupt,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.1372,0.004865720090592963,0.12766318862243778,0.1467368113775622,0.3036093418259023,0.014981613266743049,0.27424537982308594,0.3329733038287187,0.151,792.9,25.3728,0.8116,1.0,1.0,10.0,10.0,0.0,0.0,1036966.4251714365,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,three_source_two_corrupt,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6334,0.006814755168015943,0.6200430798706887,0.6467569201293112,0.23238380809595202,0.006676309377511038,0.21929824171603038,0.24546937447587366,0.6456,889.5,28.464,0.1996,1.0,1.0,10.0,10.0,0.0,0.0,4741723.230763303,5000
