run_family,count,mean_quote_divergence,max_quote_divergence,mean_nav_per_deposit_divergence,max_nav_per_deposit_divergence,mean_price_entry_divergence,max_price_entry_divergence,slippage_failures
adversarial,64,0.0003486213502089622903098952842,0.0009064069979182371533846517983,0.0002908793751253056534864756641,0.001518028920957070357293448,0.000002271885044125598546323737914,0.000006098581951791591079025581759,0
deterministic,9,0.0003219634067548591384882029116,0.0004584137568960801975524418113,0.0010627630307032825022015025,0.0070889888739605357983655066,0.000001551614729258423104613415666,0.000004339100716738769441715082241,0
monte_carlo,24,0.0002987440964980117900259384033,0.0006384001119313542169958420456,0.002638515416881304749466859458,0.018131827333981696203726526,0.000001964926085250697273656811603,0.000005206546507946421087082827064,1
