run_family,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_max_price_change,max_max_price_change,invariant_failures
adversarial,128,1,1,1,7.592131587494917525145622822E-30,1.726236382983195709702754400E-28,0
deterministic,18,1,1,1,6.711904072262239939115243739E-30,3.709404702152548257295422586E-29,0
monte_carlo,48,1,0.9791666666666666666666666667,1,1.046210704322302801993277304E-29,8.602905116578052151105264542E-29,0
