run_family,scenario_name,description,max_quote_divergence,max_nav_per_deposit_divergence,max_price_entry_divergence
monte_carlo,layer_c_mc_0023,Randomized active-LP resolved market path.,0.0003257541338871567857857649647,0.018131827333981696203726526,0.000002416845900356351189576001739
deterministic,repeated_lp_entries,"Multiple LP cohorts join during active trading, including after an intermediate sell.",0.0002013439513466017426627833711,0.0070889888739605357983655066,0.000001903997667157303409927798321
monte_carlo,layer_c_mc_0006,Randomized active-LP resolved market path.,0.0004171629267890187069375865449,0.0058670295900519668864178331,0.000001909401224036225245384126591
monte_carlo,layer_c_mc_0007,Randomized active-LP cancellation path.,0.0001034887737407880890409343283,0.0054960187046557400592713535,0.000003633000772052429385336592001
monte_carlo,layer_c_mc_0000,Randomized active-LP resolved market path.,0.0004262006031475290721366269800,0.0050247788200943717296865400,0.000003090315518744037085969438730
monte_carlo,layer_c_mc_0016,Randomized active-LP resolved market path.,0.0003242006319081764009260860599,0.003931501471665791252766093,0.000001592329990384407077471335195
monte_carlo,layer_c_mc_0008,Randomized active-LP resolved market path.,0.0004126699378147756665862299642,0.003928332853373958928545908,0.000002053428511394137836666828539
monte_carlo,layer_c_mc_0011,Randomized active-LP resolved market path.,0.0001019130258728664444195326138,0.003851669050672019302085926,0.000001597300230885144039043600942
monte_carlo,layer_c_mc_0013,Randomized active-LP resolved market path.,0.0003145239257737335619050038826,0.0036890935318843675569846308,0.000001591280608263214962656107569
monte_carlo,layer_c_mc_0005,Randomized active-LP resolved market path.,0.0001887996555850992857205438044,0.002856252571879746270795362,6.666666666666666666666666667E-7
monte_carlo,layer_c_mc_0014,Randomized active-LP cancellation path.,0.0003101297733249569737468523033,0.0028339396966358281773543891,0.000001590597128582217601950479402
monte_carlo,layer_c_mc_0009,Randomized active-LP resolved market path.,0.0005277970171375864830547583371,0.001661001438392843778268620,0.000002032466048702775838822467965
monte_carlo,layer_c_mc_0015,Randomized active-LP resolved market path.,0.0002788612653678183384873832440,0.0016363542453302327352925611,0.000005206546507946421087082827064
adversarial,layer_c_adv_0014,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=reversion, winner_policy=favorite",0.0001634795491392131184790964469,0.001518028920957070357293448,0.000001802654719877387128473245419
adversarial,layer_c_adv_0015,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=reversion, winner_policy=hedge",0.0001634795491392131184790964469,0.0015175958855257566891069852,0.000001802654719877387128473245419
adversarial,layer_c_adv_0011,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=reversion, winner_policy=hedge",0.0001734192888840119139867998881,0.0015090542464962396453145481,6.335331027817167000822595411E-7
adversarial,layer_c_adv_0010,"Adversarial fairness search: pre_entry=6, late_delta_b=20, counterflow_ratio=0, post_entry_mode=reversion, winner_policy=favorite",0.0001734192888840119139867998881,0.001508959575889996201512900,6.335331027817167000822595411E-7
monte_carlo,layer_c_mc_0020,Randomized active-LP resolved market path.,0.0002471419004369111766800067264,0.001432695610281324067882755,0.000001621120817521393634030682880
adversarial,layer_c_adv_0030,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=reversion, winner_policy=favorite",0.0003729119095222642078591324054,0.001404493434216966553556172,4.899849722645882667377576472E-7
adversarial,layer_c_adv_0031,"Adversarial fairness search: pre_entry=20, late_delta_b=20, counterflow_ratio=0.25, post_entry_mode=reversion, winner_policy=hedge",0.0003729119095222642078591324054,0.0014043907567319875568693251,4.899849722645882667377576472E-7
