run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,divergence_implemented,divergence_max_price_entry_diff,divergence_max_quote_diff,divergence_max_nav_diff,divergence_max_nav_per_deposit_diff,divergence_solvency_match,invariant_failures
monte_carlo,layer_c_mc_0003,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,0,13,primary,0.0,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0003,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,150,0,13,primary,0.0,True,True,3,True,1,0,0,True,0,0.0002875349678451816098657261726,0.0427764094106559596300344,0.000459153213875268580494847,True,0
monte_carlo,layer_c_mc_0004,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,100,25,12,primary,4E-80,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0004,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,100,25,12,primary,0.0,True,True,3,True,1,0,0,True,0,0.00009191396894839311945070955133,0.02813590035627270866321831,0.000874036071739940940961089,True,0
monte_carlo,layer_c_mc_0005,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,50,0,14,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0005,Randomized active-LP resolved market path.,global_state_avm_fixed_point,3,50,0,14,primary,0.000000,True,True,2,True,1,0,0,True,6.666666666666666666666666667E-7,0.0001887996555850992857205438044,0.06278114418614491963413555,0.002856252571879746270795362,True,0
monte_carlo,layer_c_mc_0006,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,100,25,16,primary,6.585803866721158484160015300E-29,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0006,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,100,25,16,primary,0.000000,True,True,3,True,1,0,0,True,0.000001909401224036225245384126591,0.0004171629267890187069375865449,0.7588601756300321902241889,0.0058670295900519668864178331,True,0
monte_carlo,layer_c_mc_0007,Randomized active-LP cancellation path.,reference_parallel_lmsr,8,50,25,20,primary,0E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0007,Randomized active-LP cancellation path.,global_state_avm_fixed_point,8,50,25,20,primary,0.00000,True,True,2,True,1,0,0,True,0.000003633000772052429385336592001,0.0001034887737407880890409343283,0.23089915227658685403719342,0.0054960187046557400592713535,True,0
monte_carlo,layer_c_mc_0008,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,100,0,17,primary,1.925227962541537020893383131E-29,True,True,4,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0008,Randomized active-LP resolved market path.,global_state_avm_fixed_point,3,100,0,17,primary,0.000000,True,True,4,True,1,0,0,True,0.000002053428511394137836666828539,0.0004126699378147756665862299642,0.1765304390403865686733240,0.003928332853373958928545908,True,0
monte_carlo,layer_c_mc_0009,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,100,0,15,primary,3.807240371101504559455356509E-29,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0009,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,100,0,15,primary,0.000000,True,True,3,True,1,0,0,True,0.000002032466048702775838822467965,0.0005277970171375864830547583371,0.05472238039362048209138390,0.001661001438392843778268620,True,0
