run_family,scenario_name,mechanism,num_outcomes,duration_steps,duration_bucket,clock_mode,split,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,entry_max_probability,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2E-80,True,True,1,0,0,0,0.0341325008412816612351557158,0.33884183713341058952556248048608345783028347236553839925075773314228871723662695,0,174.8128461734194530408298681,174.8128461734194530408298681,,,0
deterministic,neutral_late_lp,fpmm_pool_share,3,,,event_step,,True,1.692294275245178550119679541E-29,True,True,1,0,0,0,0.0122178907808158000457067341,0.33755651344867989550979530309389697248489539301945186042625583227060342058385704,0,0E-26,174.8614288768697055806561550,,,0
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2.373209603267881507115591096E-29,True,True,1,0,0,0,-0.0276783444371876104366486003,0.38739875811869635827661623421890037106437987737355824136601170814356768668738957,0,172.3073872222507602353057862,172.3073872222507602353057862,,,0
deterministic,skewed_late_lp,fpmm_pool_share,3,,,event_step,,True,3.456890584456932812948175535E-29,True,True,1,0,0,0,0.1169883457462921545964852925,0.37592757993956187093650643886834627035036567124398493140592941468868040348919151,0,0E-26,172.2354744496856093976970547,,,0
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,8,,,event_step,,True,3.374692031740994479984785479E-29,True,True,1,0,0,0,-0.0508155055261240650762526190,0.13102037792276925639554631608452858135582356453089110426559869360592465275634882,0,430.9587163292799935179050882,430.9587163292799935179050881,,,0
deterministic,long_tail_late_lp,fpmm_pool_share,8,,,event_step,,True,9.758383131931493620200187412E-30,True,True,1,0,0,0,0.0211478828892977209702176569,0.12770485186286378405509454010241398577047964301777905891070726617652445920817184,0,0E-25,430.9697253650621928666876087,,,0
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2.624120992910607646011639570E-29,True,True,1,0,0,0,0.0207941330302596003780493130,0.34360734948433706323495475614393699413597213438728036137237746386698126316002687,0,189.7335490524779885235555000,189.7335490524779885235555000,,,0
deterministic,early_vs_late_same_delta_b,fpmm_pool_share,3,,,event_step,,True,1.890404741403200988560668547E-29,True,True,1,0,0,0,0.0244908281136928210792287231,0.34154750879351631836566698006373565209676143097896010531500654125339861551633280,0,0E-26,189.7777839418413570380167781,,,0
deterministic,same_final_claims_different_timing,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1E-80,True,True,2,0,0.00003325045902808599741441,40.35529235466565760267943626,0.0739799545907550021480399660,0.35134161818148265327090073147798952426748728689658627629248112572360429952294155,0,163.7003719768995612387760522,163.7003719768995612387760522,,,0
deterministic,same_final_claims_different_timing,fpmm_pool_share,3,,,event_step,,True,4.858134865671897509799920386E-29,True,True,2,0,0.00000437012503787911995353019,39.53838074627350356819659258,0.0404647570651096878965933033,0.34730407430168051619963228008691848611929681118098193488914838992218766458349720,0,0E-26,163.7336944807729178487035120,,,0
deterministic,repeated_lp_entries,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,3.709404702152548257295422586E-29,True,True,1,0,0,0,0.0168129393274431121953169055,0.34679726706620556343340016451908226106402754681458321719355392406591308133202813,0,212.3419422003601733705637673,212.3419422003601733705637673,,,0
deterministic,repeated_lp_entries,fpmm_pool_share,3,,,event_step,,True,7.683588457703440414453106630E-29,True,True,1,0,0,0,0.0086965445682477272339754447,0.34375876818506545750829940526667917991033852385779241470310483161846882492054178,0,0E-26,212.3938928967769074513196199,,,0
deterministic,zero_flow_nav_invariance,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1E-80,True,True,1,0,0,0,0.0000857418094000871563931488,0.34453546183576158502010227462327527802503636814941085208384337725438959563311363,0,0,0,,,0
deterministic,zero_flow_nav_invariance,fpmm_pool_share,3,,,event_step,,True,4.562036783331416711580652279E-29,True,True,1,0,0,0,0.0000358857574007561171051603,0.34199925596781367511895370655243565908218389914223608879597695718458138188108127,0,168.3764761506005102285955245,0,,,0
deterministic,same_block_trade_reordering,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2E-80,True,True,2,0,0.00002464681597011885414893,34.37718289206436434149435155,0.0453557805739656375308176905,0.34223565773917094833800319829533906829481916304732155429082680704085377003078744,0,159.8811839265850595564737302,159.8811839265850595564737302,,,0
deterministic,same_block_trade_reordering,fpmm_pool_share,3,,,event_step,,True,9.835305542738914098283329197E-29,True,True,2,0,0.00000330402255695145154764687,0.2731891066168346273423582,0.0202919169683068838747525416,0.34019581945972780828063466520796309851749294246166167742099774503768118287749916,0,0E-26,159.9101710882261330999807160,,,0
adversarial,fpmm_compare_adv_0000,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1E-80,True,True,1,0,0,0,0.0087205131247954284522138122,0.34679726706620556343340016451908226106402754681458321719355392406591308133202813,0,148.2817897446481088350490443,148.2817897446481088350490443,,,0
adversarial,fpmm_compare_adv_0000,fpmm_pool_share,3,,,event_step,,True,5.607145831877719304664929171E-29,True,True,1,0,0,0,0.0304040971776537297542500452,0.34375876818506545750829940526667917991033852385779241470310483161846882492054178,0,0E-26,148.2932137355096015003246702,,,0
adversarial,fpmm_compare_adv_0001,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1E-80,True,True,1,0,0,0,0.009079732856118480401064130,0.34679726706620556343340016451908226106402754681458321719355392406591308133202813,0,154.2817897446481088350490443,154.2817897446481088350490443,,,0
adversarial,fpmm_compare_adv_0001,fpmm_pool_share,3,,,event_step,,True,5.607145831877719304664929171E-29,True,True,1,0,0,0,-0.015799069482302607099181522,0.34375876818506545750829940526667917991033852385779241470310483161846882492054178,0,0E-26,154.2932137355096015003246702,,,0
adversarial,fpmm_compare_adv_0006,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2E-80,True,True,1,0,0,0,0.0044007581589866081797948370,0.34509390166603296356601132362869005091234671460327672903511818561055011385582583,0,148.8726464291080222059192625,148.8726464291080222059192625,,,0
adversarial,fpmm_compare_adv_0006,fpmm_pool_share,3,,,event_step,,True,4.349817810077553722462466363E-30,True,True,1,0,0,0,0.0265608815961171692089427734,0.34243090264684553868984118187551387913910433641399847192653054898297456965919344,0,0E-26,148.8907745478046670309568192,,,0
adversarial,fpmm_compare_adv_0007,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,2E-80,True,True,1,0,0,0,0.004539675772233245462969562,0.34509390166603296356601132362869005091234671460327672903511818561055011385582583,0.00,153.3726464291080222059192625,153.3726464291080222059192625,,,0
adversarial,fpmm_compare_adv_0007,fpmm_pool_share,3,,,event_step,,True,4.349817810077553722462466363E-30,True,True,1,0,0,0,-0.0080914933988500834311309022,0.34243090264684553868984118187551387913910433641399847192653054898297456965919344,0,0E-26,153.3907745478046670309568192,,,0
adversarial,fpmm_compare_adv_0014,reference_parallel_lmsr_reserve_residual,3,,,event_step,,True,1E-80,True,True,1,0,0,0,0.0544289307071067718135991447,0.34679726706620556343340016451908226106402754681458321719355392406591308133202813,0,140.5806206373584448131647886,140.5806206373584448131647886,,,0
