run_family,scenario_name,active_lp_fairness_gap_nav_per_deposit,fpmm_fairness_gap_nav_per_deposit,fpmm_minus_active_lp_gap,active_lp_max_price_change,fpmm_max_price_change,active_lp_slippage_pass,fpmm_slippage_pass,active_lp_solvency_pass,fpmm_solvency_pass
adversarial,fpmm_compare_adv_0000,0.0087205131247954284522138122,0.0304040971776537297542500452,0.0216835840528583013020362330,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0001,0.009079732856118480401064130,-0.015799069482302607099181522,-0.024878802338421087500245652,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0006,0.0044007581589866081797948370,0.0265608815961171692089427734,0.0221601234371305610291479364,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0007,0.004539675772233245462969562,-0.0080914933988500834311309022,-0.0126311691710833288941004642,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0014,0.0544289307071067718135991447,0.0311869378603941933385449469,-0.0232419928467125784750541978,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0015,0.061412480822028644254557175,-0.016232829404962017332611913,-0.077645310226990661587169088,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0016,0.0589865893393729343828384559,0.0299900524339972071218200301,-0.0289965369053757272610184258,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0017,0.0566587393010656435691857792,-0.0149965136205592559138862433,-0.0716552529216248994830720225,1E-80,5.607145831877719304664929171E-29,True,True,True,True
adversarial,fpmm_compare_adv_0020,0.0388731771889036318494001454,0.0275325023074465460205237105,-0.0113406748814570858288764349,2E-80,4.349817810077553722462466363E-30,True,True,True,True
adversarial,fpmm_compare_adv_0021,0.043435118672225148181713841,-0.008626631047214863396281773,-0.052061749719440011577995614,2E-80,4.349817810077553722462466363E-30,True,True,True,True
