run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,num_outcomes,duration_steps,duration_bucket,clock_mode,split,nav,nav_per_deposit,nav_per_risk
deterministic,same_block_trade_reordering,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,125.5429363145186244432493159,0.9667468682533314305327442675,0.9667468682533314305327442675
deterministic,same_block_trade_reordering,reference_parallel_lmsr_reserve_residual,lp_block:4,lp_block,3,3,,,event_step,,34.37877044621599770432206377,1.012102648827297068063561958,1.012102648827297068063561958
deterministic,same_block_trade_reordering,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,126.2086354695061773482386870,0.9718731030872117656285803267,0.9718731030872117656285803267
deterministic,same_block_trade_reordering,fpmm_pool_share,lp_block:3,lp_block,3,3,,,event_step,,33.70153561871995575174202893,0.9921650200555186495033328683,0.9921650200555186495033328683
adversarial,fpmm_compare_adv_0000,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,126.3345198157560505935682382,0.9728424789921555228037762169,0.9728424789921555228037762169
adversarial,fpmm_compare_adv_0000,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,21.96767255476268279037763619,0.9815629921169509512559900291,0.9815629921169509512559900291
adversarial,fpmm_compare_adv_0000,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,125.9129154447349166944831628,0.9695959028223462702457499548,0.9695959028223462702457499548
adversarial,fpmm_compare_adv_0000,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,22.38029829077468480584150739,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,fpmm_compare_adv_0001,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,131.4456309268671617046793493,1.012200732072859069012254959,1.012200732072859069012254959
adversarial,fpmm_compare_adv_0001,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,22.85656144365157167926652507,1.021280464928977549413319089,1.021280464928977549413319089
adversarial,fpmm_compare_adv_0001,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,131.9129154447349166944831628,1.015799069482302607099181522,1.015799069482302607099181522
adversarial,fpmm_compare_adv_0001,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,22.38029829077468480584150739,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,fpmm_compare_adv_0006,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,126.8427659822961057061038241,0.9767562427149778711876435916,0.9767562427149778711876435916
adversarial,fpmm_compare_adv_0006,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,22.05520687838637366013618703,0.9811570008739644793674384286,0.9811570008739644793674384286
