run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,invariant_failures
monte_carlo,paper_quick_mc_0036,Randomized active-LP cancellation path.,reference_parallel_lmsr,5,200,50,20,primary,0.0,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0037,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,25,16,primary,3.356642983446872063513457278E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0038,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,100,50,13,primary,4E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0039,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,150,50,20,primary,4.652438973324767975508992382E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_quick_mc_0040,Randomized active-LP cancellation path.,reference_parallel_lmsr,3,50,0,22,primary,2.040388172464356590876957936E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0041,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,100,0,14,primary,0E-80,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0042,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,200,0,13,primary,8.522805003992087450089431562E-30,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0043,Randomized active-LP cancellation path.,reference_parallel_lmsr,8,100,25,15,primary,0.000,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0044,Randomized active-LP cancellation path.,reference_parallel_lmsr,12,100,25,21,primary,1.702435095732125020696858863E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0045,Randomized active-LP cancellation path.,reference_parallel_lmsr,5,100,25,20,primary,2E-80,True,True,4,True,1,0,0,0
monte_carlo,paper_quick_mc_0046,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,150,25,18,primary,1.862288617266847945859359876E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_quick_mc_0047,Randomized active-LP cancellation path.,reference_parallel_lmsr,12,200,50,19,primary,0E-81,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0048,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,150,50,14,primary,2.111763248859997044479297655E-29,True,True,3,True,1,0,0,0
